plats	`laatside
all	all
põhi	`põhja
vist	vist
päris	päris
kõva	kõva
ka	kua
kõva	kõva
sihuke	`siokkõ
hunt	un'di
kõva	kõva
jah	jah
sihuke	`siokkõ
pood	poe
pood	poes
sihuke	`siokkõ
et	ett
e	e
töö	tüed
küll	küll
tegema	`tehtud
seal	siäl
kallal	kallal
juu	juu
seal	siäl
nõnda	nõnda
kaua	kauwa
olema	onn
misuke	misuksed
käsi	käed
kõik	kõik
kämpis	`kämppis
raud	raud
kang	kan'g
see	see
olema	oli
iga	igä
päev	päe
peo	pios
kõik	kõik
kraav	ruavid
savi	sauwõssõ
raiuma	raijuttud
sisse	`sisse
no	no
seal	siäl
olema	olid
ju	ju
mees	mehed
olema	olid
haige	`aigõd
ka	kua
jah	jahh
sina	siu
peal	piäl
see	sie
töö	tüe
olema+ki	oligi
jah	jahh
mina	mia
ikka	`ikka
üksi	üksi
tegema	tegi
Mann	Man'n
olema	oli
ka	kua
jah	jahh
mees	mihed
olema	olid
haige	`aigõd
mis	miss
e	e
mees	mestel
viga	viga
olema	oli
siis	siis
kops	kopso
põletik	põlõttikkus
olema	oli
mees	mies
poeg	poõg
olema	oli
laev	laõva
peal	piäl
see	sie
venitama	venüttäs
ära	ää
oma	oma
seal	siäl
aa	aa
tiisikus	tiisikkusõs
ei	eij
olema	olõss
või	või
ei	eij
olema	olõ
olema	põlõ
praegu+gi	`praõgugi
tiisikus	tiisikkus
ei	ei
praegu	`praõgu
mitte	`mitte
aga	aga
siis	siis
olema	olid
vist	vist
või	või
ei	eij
olema	olõ
ahah	ahah
Toomas	`Tuomal
hakkama	`akkas
välja	`vällä
ajama	ajama
ikka	`ikka
seal	siäl
sees	sies
ning	ning
tapma	`tapsime
peale	`piäle
tema	täst
saama	sai
aga	aga
välja	`vällä
ravitsema	ravitsõda
olema	oli
kops	kopsu
põletik	põlettikkus
aga	aga
nemad	nemäd
olema	olid
ju	ju
hulga	ulga
aeg	`aõga
sedasi	sedäsi
hoidma	`oitsid
ise	ennäst
jah	jahh
kaheksa+teist	kahõksa+deist
aasta	`aastad
olema	oli
mees	mies
Toomas	Tuõmas
kuidas	kudas
kuidas	kudas
nemad	nad
elama	eläsid
kuidas	kudas
nemad	nad
elama	eläsid
see	selle
kaheksa+teist	kaheksa+`deistmõ
aasta	`aastaga
kuidas	kudas
nemad	nad
elama	eläsid
laev	laõ
laev	laõ
olema	oli
poolnik	`puõlnik
olema	oli
peal	piäl
mis	miss
e	e
kopikas	koppikka
saama	said
see	selle
eest	iest
saama	sai
piim	`piima
ostma	`osta
ning	ning
sööma	`seüwä
aga	a
kodu	kodo
elama	eläsid
ju	ju
ka	kua
teist+moodi	teist+moodi
ikka	`ikka
kodu	kodo
elama	eläsid
teist+moodi	teist+modi
jah	jahh
kodu	kodo
olema	olid
külm	`külmäs
kamber	`kambris
talvel	`talvõ
aken	`aknast
tuiskama	`tuiskas
lumi	lumi
sisse	`sisse
aken	`aknad
olema	olid
ikka	`ikka
iga	igä
päev	päe
lahti	`lahti
siis	sis
iga	igä
päev	päe
mees	mihed
tegema	tegid
oma	omaga
ime	ime
temp	`temppa
kõik	`kõikki
mood	`muõdi
mis	miss
vähegi	vähä
õpetama	õppõttatti
ning	nin
kõik	`kõikki
mood	`muõdi
tegema	tegid
ime	ime
temp	`temppa
jah	jahh
mis	miss
rohi	`rohto
siis	s
nemad	nad
e	e
pruukima	`pruuksid
ühe+tasa	ühe+tasa
seal	siäl
apteek	`aptekkast
ikka	ikka
kops	kopso
rohi	`rohta
ning	ning
aga	a
sihuke	siukst
rahvas	`rahva
rohi	`rohta
õpetama	õppõttatti
ka	kua
ju	ju
või	või
jah	jahh
no	no
inimene	inimesed
ju	ju
õpetama	õppõttavad
ikka	`ikka
iga+sugune	egä+sugusi
rohi	`rohta
e	e
tõrv	tõrva
vesi	vett
jah	jahh
ning	ning
kõik	`kõikki
sihuke	`siuksi
asi	`as'ju
jah	jahh
kõik	`kõikki
nemad	nad
jooma	jõid
ka	kua
tõrv	tõrva
vesi	vett
või	või
jah	jahh
kõik	`kõikki
tegema	tegid
mänd	männü
kasv	kasusid
ning	ning
tõrv	tõrva
vesi	vett
ning	ning
jah	jahh
aga	a
viimaks	`viimes
saama	said
ju	ju
terve	`terves
ka	kua
jah	jahh
töö	tüed
ju	ju
tegema	tegid
Toomas	Tuõmas
olema	oli
ju	ju
päris	päris
terve	terve
ju	ju
viimaks	`viimes
üsna	üsä
terve	terve
olema	olõss
mitte	mtte
aga	aga
aga	agaa
sihuke	`siokkõ
olema	oli
et	et
iga	egä
päev	päe
tegema	tegi
töö	tüed
tundma	`tun'dis
ikka	`ikka
aga	aga
nüüd	nüüd
ee	ee
Jaan	Juanil
olema	põlõ
ju	ju
keegi	kedägi
viga	viga
Jaan	Juanil
küll	küll
viga	viga
tema	temäl
jalg	jalg
nõrk	nõrk
no	no
see	sie
teine	teene
asi	asi
nüüd	nüüd
aga	aga
see	selle
kops	kopso
saama	sai
ju	ju
terve	`terves
tema	ta
ütlema	`ütleb
süda	südä
haige	`aigõ
aga	agaa
tiisikus	tiisikku
mitte	mtte
olema+ki	olõski
nemad	neil
köha	kühä
ega	egä
sihuke	`siokkõst
olema	olõss
keegi	kedägi
jääma	jäi
kops	kopsu
põletik	põlettikku
sihuke	`siokses
jälle	`jälle
et	et
plekk	plekki
jääma	jääväd
sisse	`sisse
saama	suass
välja	`vällä
ravima	ravida
ajama	aas
välja	`väl'ja
töö	`tüöse
ning	ning
olema	olõss
ka	ka
kosuma	kosun
ajama	aas
enne+aegu	`enne+`aegu
välja	`vällä
jah	jah
ikka	`ikka
juurima	`juuris
ning	ning
tegema	tegi
sihuke	`siokkõ
lugu	lugu
ei	ei
üks	ühes
tükk	`tükküs
olema	oli
siin	sii
nemad	nendel
olema	oli
sealt	sealt
juures	*juurõs
uus	uus
tükk	tükk
see	see
olema	oli
üks	üks
e	e
uus	uus
tükk	tükk
jah	jahh
aga	aga
siin	sii
olema	oli
ise	ise
teine	teene
see	see
väike	`väikke
mõisa+maa	`mõisa+maa
jah	jah
siin	sii
Sääre+küla	Siäre+gülä
pool	puol
aga	aga
mis	mis
siis	sis
see	sie
tähendama+ki	tähendäpki
teie	tee
ütlema	`ütlette
et	ett
kui	kui
silm	`silmi
lõhkuma	`lõhku
või	või
veri	verd
mõni	mõni
tahtma	tahab
mis	miss
see	sie
mis	miss
see	sie
mis	miss
see	sie
tähendama	tähendäb
kui	kui
nõid	nõijalõ
veri	vere
välja	`vällä
lööma	`leüwä
siis	siis
mitte	`mitte
nõid	nõid
saama	`suaje
see	selle
inimene	inimese
üle	üle
võim	`võimu
oma	oma
kätte	käde
see	sie
mõju	mõju
kaduma	kaob
ära	ää
siis	siis
ah+ahh	ah+ahh
enam	enäm
saama	sua
peale	`piäle
tulema	`tulla
painama	`painama
ega	egä
ah+ahh	ah+ahh
jah	jahh
kui	ku
veri	vere
välja	`vällä
lööma	lüöb
nõid	nõijal
selge	`sel'ge
see	sii
tähendama	tähendäb
see	sedä
siis	siis
jah	jahh
siis	siis
olema	oo
piin	piinast
lahti	`lahti
jah	jahh
siis	siis
olema	olõd
piin	piinast
siis	siis
lahti	`lahti
olema	põlõ
kuulma	kuuln
niisugune	niisuksi
sina	saa
sihuke	`sioksi
kunst	`kun'tsa
teadma	tiä
keegi	kedägi
või	või
ei	ei
teadma	tiä
mina	mia
teadma	tiä
mitte	mtte
põrm	`põrmu
kunst	`kun'tsõst
meie	me
olema	põlõ
kunst	`kun'tsõga
elama	elän
mitte	mtte
ega	egä
teadma	tiä
ka	kua
mitte	mtte
aga	aga
siin	sii
ju	ju
mõni	mõnõd
ju	ju
pidama	pidäsid
küll	küll
kunst	`kun'tsa
vana	vana
Nuki	Nukki
või	või
vana	vana
Laur	Laur
vana	vana
Laur	Laur
olema	oli
jah	jahh
naaber	`naaber
vana	vana
vana	vana
Laur	Lauril
ei	eij
olema+ki	olõski
muu	muud
kui	ku
kunst	kun'tsid
jah	jahh
mina	mia
mitte	mtte
teadma	tiä
mis	mis
tema	tä
tegema	tegi
mina	miule
lõikama	`lõikkas
meie	mede
vasikas	vas'sigal
põis	põije
põis	põije
uss	`us'sa
mina	mia
kutsuma	`kut'si
tema	temä
ka	kua
lõikama	`lõikkama
ning	ning
siis	siis
olema	oli
siis	siis
lõikama	`lõikkas
sedasi	sedäsi
et	ett
et	ett
ülevalt	ülevält
lõikama	`lõikkas
katki	`kat'ki
siis	s
händ	ännä
ots	otsast
võtma	`võt'tis
tükk	tükkü
ära	ää
ning	ning
siis	siis
jooksma	`juõsis
ikka	`ikka
ümber	`ümber
tuba	tua
see	sellegä
seda+moodi	sedä+`muõdi
see	sedä
olema	oli
tema	temäl
tarvis	`tarvis
mina	mina
teadma	tiä
vasikas	vas'sigas
jääma	jäi
ikka	`ikka
terve	`terveks
vasikas	vas'sigas
jääma	jäi
ikka	`ikka
oma+moodi	oma+`muõdi
juu	juu
see	sie
kunst	kun'ts
olema	oli
tema	tall
aga	aga
vasikas	vas'ikkas
pärast	päräst
juu	juu
saama	sai
terve	`terves
ikka	`ikka
või	või
tema	tiä
lõikama	`lõikkas
ise	ise
nahk	naha
katki	`kat'ki
siis	siis
saama	sai
parem	paramas
vana	vana
lootma	`luõttis
kunst	kun'tsi
peale	`piäle
vana	vanal
olema	oli
iga	igä
asi	as'jal
kunst	kun'ts
ju	ju
vana	vana
Nuki	Nukkil
ning	ning
hõh	hõh
mina	mia
mitte	mtte
ei	i
teadma	tiä
kõik	`kõikki
asi	`as'ju
kõik	`kõikki
asi	`as'ju
kunstitama	kun'sittas
ning	ning
minema	läin
siga	`siale
sööma	`seüwä
viima	`viimä
siis	sis
tõstma	tõst
ikka	`ikka
kolm	kolm
kord	kord
siga	sia
pang	pangi
üles	üles
ennem	ennemä
kui	ku
ette	ede
valama	valan
ning	ning
sihuke	`sioksi
kunst	`kun'tsa
olema	oli
tema	tall
või	võit
tegema	teind
siis	s
olema	oli
viht	viht
jalg	`jalgõ
vahel	vahõl
ning	ning
kui	kui
või	võid
või	võid
kulp	kulbiga
vee	vel
teadma	tiä
siis	siis
tema	tää
üksi	üksi
teadma	`tiädis
aga	agaa
mis	mis
vana	vana
Noki	Nokki
tegema	tegi
vahel	vahõl
see	sedä
sina	sa
ei	i
teadma	tiä
või	vä
vana	vana
Noki	Nokki
vana	vana
Noki	Nokki
keegi	kedägi
kui	kui
meri	mere
minema	läin
siis	siis
naine	naõnõ
vastu	`vasta
tulema	tuln
siis	siis
minema	läin
koju	koo
taha+kohe	taha+gohõ
olema	põlõ
minema	läin
see	sedä
mina	miä
olema	olõ
kuulma	kuuln
aga	aga
kui	ku
vares	varõs
vares	varõs
pidama	pidi
ka	kua
üks	üht
asi	`as'ja
tähendama	tähendämä
või	või
see	sedä
ei	i
olema	põlõ
kuulma	kuuln
või	või
ei	ei
olema	polõ
ütlema	ööldi
kui	ku
vares	varõs
karjuma	karjub
vares	varõs
karjuma	karjub
see	sie
ju	ju
kõik	kõik
olema	oli
sant	san't
asi	asi
vares	varõs
karjuma	karjub
see	sie
tulema	tulõb
ju	ju
ilmsi	`ilmsi
kätte	käde
vares	varõs
karjuma	karjub
sant	`san'tti
siis	sis
see	se
tulema	tulõb
aga	aga
kui	kui
kaaren	`kuarnas
karjuma	karjub
mis	miss
siis	siis
olema	onn
kaaren	`kuarnas
ju	ju
karjuma	karjub
ka	kua
sant	`san'tti
ilm	`ilma
tüdruk	tüdrikkud
käima	käösid
madar	madarull
ning	ning
pähkel	`pähklil
pähkel	`pähklil
Saare+maa	Saarõ+maal
päris	päris
laid	`laidess
või	või
suur	suurõ
Saare+maa	Saarõ+ma
peal	peal
laid	`laidõss
Kübar+saar	Kübär+suarõs
ning	ning
siin	sii
laid	`laidõss
Abruka	Abrukkas
ka	ka
käima	käösid
või	vä
ei	ei
olema	põlõ
käima	käün
seal	sial
ei	i
olema	põlõ
käima	käün
või	või
ei	ei
olema	põlõ
mis+pärast	mis+päräst
seal	siäl
siis	s
käima	`käüdi
mees	mehed
käima	käösid
kivi	kivä
laadima	`luadmas
siis	siss
tüdruk	tüdrikkud
minema	läksid
jälle	`jälle
madar	madarulõ
ning	ning
pähkel	`pähklile
kuidas	kudas
madar	madaru
otsima	ot'sittassõ
otsima	ot'sittassõ
konks	konksoga
kiskuma	`kistassõ
otsima	ot'sittassõ
ikka	`ikka
kivi	kivi
aed	`aidõst
ning	ning
maa	muast
ning	ning
jah	jahh
kivi	kivi
kraav	`ruävõ
pealt	piält
ühest+kohast	ühest+kohast
kust	kust
saama	`suadi
aga	aga
siin	sii
Kihnu	`Kihnus
vähe	vähä
need	neid
või	või
jah	jahh
Kihnu	Kihnus
vähe	vähä
Kihnu	Kihnus
vähe	vähä
lõng	`lõnga
keetma	`kiettä
mis	miss
värv	`värvi
see	sellest
andma	annab
punane	punast
värv	`värvi
ette	`ette
ette	`ette
ilus	jõlust
e	e
lõng	`lõnga
tegema	tegi
madar	madarad
need	nied
minema	lähä
pealt	piält
ära	ää
kord	`korda
kord+ki	`kordagi
minema	lähä
pealt	piält
ära	ää
vabrik	vabrikku
värv	värvid
minema	`lähtväd
maha	maha
ju	ju
jah	jahh
ootama	`uõtta
mina	mia
tooma	tuõ
nägema	nähä
üks	ühe
madar	madara
kõige	kõege
ennem	ennemä
maarjas	`muarjaga
klaar	kluar
hapu	appu
taar	tuariga
keetma	kiedettässe
ära	ää
siis	siis
tegema	tehässe
kollane	`koltsõss
lõng	lõng
või	või
jah	jahh
lõng	lõng
siis	siis
tegema	tehässe
kollane	`koltsõs
ning	ning
siis	siis
e	e
tapma	tappõttassõ
need	nied
madar	madarad
puru	puruks
siis	sis
keetma	kiedettässe
hapu	appu
taar	tuariga
ära	ää
ning	ning
siis	sis
keetma	kiedettässe
siis	siis
naa	naa
viks	viks
kaks	`kahtõ
kord	kord
keetma	kiedettässe
ära	ää
lõng	lõng
läbi	läbi
maarjas	`muarjaga
ning	nin
jah	jahh
maarjas	`muarjaga
ning	ning
siis	siis
kollane	`koltsõs
ning	ning
siis	siis
siis	siis
panema	pannassõ
punane	punasõssõ
juurikas	juurikkad
jah	jahh
juur	juurõd
leht	lehed
tegema	tie
keegi	kedägi
aga	aga
juurikas	juurikkad
aga	aga
madar	madaru
olema	oli
mitu	mjõttut
sort	`sortti
ka	kua
ju	ju
kuidas	kudas
sina	sa
ära	ää
tundma	tunnõd
et	et
see	see
värvi+madar	värvi+madar
mihuke	`miokkõ
see	se
õige	`õigõ
olema	ond
tundma	tundassõ
ära	ää
need	ne
ju	ju
e	e
iga	egää
madar	madaral
ise+moodi	ise+`muõdi
leht	leht
tundma	tundassõ
ära	ää
mis+moodi	miss+`muõdi
see	selle
värvi+madar	värvi+madara
leht	leht
olema	ond
neli	neli
neli	neli
leht	`lehte
koos	koos
aga	aga
muga	mugadõl
jälle	`jälle
kümme	kümme
leht	`lehte
ning	ning
leht	`lehti
rohkem	`rohkõm
kas	kass
e	e
õis	õijõ
värv	värv
ka	ka
teist+moodi	teist+modi
olema	ond
või	või
ei	ei
olema	põlõ
õis	õijõ
värv	vär'v
jah	jahh
valge	`valgõ
aga	aga
aga	aga
teine	teesel
kollane	`kolnõ
teine	teesel
madar	madaral
kollane	`kolnõ
jah	jahh
kõigest	kõigist
siit	siit
üle	üle
meri	mere
suur	suurõlt
maa	mualt
kust	kust
aga	aga
vähegi	vähe
kätte	käde
saama	suass
kas	kass
praegu	`praõgu
ka	kua
käima	käüwässe
veel	viel
või	või
ikka	ikka
käima	`käüväd
meie	meil
Tiiu	Tiiju
käima	käüs
tänavu	tänävu
alles	`allõs
kus	kuss
nüüd	nüüd
käima	käüwässe
Pootsi	`Puõtsis
käima	käösid
nüüd	nüüd
käima	käüwä
nõnda	nda
kaugel	`kaugõl
laev	laõvaga
mitte	mtte
jah	jahh
Pootsi	`Puõtsis
käima	käüsid
eile	eile
need	neid
või	või
mihuke	`mioksi
need	neid
või	või
no	no
kollane	`koltset
seal	seal
kollane	`koltsõks
see	see
saama	sai
puu	puu
leht	`lehtegä
paaks+puu	paaks+puu
leht	`lehtegä
jälle	`jällee
maarjas	`muarjaga
e	e
hapendama	appandassõ
ära	ää
ning	ning
siis	siis
keetma	kiedettässe
puu	puu
leht	`lehtegä
see	sie
kold	kold
aga	a
kuidas	kudass
sinine	sinise
saama	suab
sinine	sinine
keetma	kiedetti
pott	pot'tiga
ennem	ennemä
sini+kivi	sini+kivigä
mis+moodi	mis+`muõdi
see	sie
käima	käüb
siis	siis
no	no
nüüd	nüüd
tegema	tehässe
värv	värvigä
värv	värvigä
e	e
see	sie
värv	vär'v
hakkama	`akkab
ikka	ikka
peale	`piäle
aga	a
see	sie
mitte	mtte
hakkama	akkas
peale	`piäle
tohtima	tohõ
rääkima	`riäkki
kusi	kusõga
tegema	`tehti
see	se
panema	`pan'di
soe	`suõja
ning	ning
see	sie
hapnema	`apnõs
seal	siäl
siis	siss
sini+kivi	sini+kivi
ennem	ennem
olema	oli
sini+kivi	sini+kivi
nüüd	nüüd
e	e
olema	põlõ
sini+kivi	sini+kivi
ju	ju
see	sie
tooma	tuõdi
Riia	Riijast
sini+kivi	sini+kivi
sihuke	`siokkõ
sinine	sinine
kõva	kõva
kõva	kõva
kivi	kivi
olema	oli
nüüd	nüüd
olema	olõ
see	sedä
värv	`värvi
enam	enäm
olema+ki	põlõgi
jah	jahh
küll	küll
naa	na
palju	palju
seisma	seesäb
peal	piäl
et	ett
see	se
nii	nii
kui	kui
tükk	tükk
olema	ond
pesema	pese
tema	tedä
kuidas	kuedas
tahes	tahõs
või	või
keetma	kiedä
või	või
kõik	kõik
olema	olid
ise	ise
värv	värvid
loodus	`luõdus
see	sie
loodus	`luõdus
see	sie
jälle	`jälle
üks	üks
kirjutus	kirjuttus
mood	muõdu
ei	eij
olema	olõ
ikka	`ikka
nimi	nimed
ka	kua
olema	olid
käär	kiäräd
ütlema	üüldässe
need	nied
need	nied
pahu+pidi	pahu+bidi
silm	silmäd
need	nied
ütlema	üüldässe
pahu+pidi	pahu+bidi
need	nied
käär	kiäräd
jah	jahh
jah	jahh
ikka	`ikka
kuduma	`kuõtti
need	nee
nüüd	nüüd
kuduma	kuduvad
valge	`valgõsi
nüüd	nüüd
kuduma	`kuõtta
enam	enäm
sihuke	`sioksi
tahtma	taha
ju	ju
nüüd	nüüd
kirjava	`kirjavad
keegi	`kiegi
küll	küll
ikka	iga
kuduma	`kuõttassõ
ka	kua
ju	ju
praegu	`praõgu
veimed	veemetteks
kuduma	kuduvad
otsima	ot'sitti
üks+kõik	üks+kõik
või	või
või	või
pidama	pidi
sügis	sügüse
poole	`puõlõ
minema	minemä
või	või
suvel	sui
või	või
ikka	`ikka
suvel	sui
käima	`käüdi
ikka	`ikka
suvel	sui
käima	`käüdi
jah	jah
suvel	sui
käima	`käüdi
jah	jahh
madar	madarul
siis	siis
kui	ku
pähkel	`pähkled
juba	juba
valmis	`valmis
olema	olid
või	või
jah	jahh
ennem	ennemä
käima	`käüdi
juba	juba
suvel	sui
püha	pühäde
suviste+püha	sui+pühäde
ümber	`ümber
ning	ning
siis	siis
iga	egäl
aeg	aal
käima	`käüdi
sügisel	sügüse
ning	ning
aga	a
see	sellest
olema	põlõ
siis	siis
keegi	kedägi
mis	mis
aeg	`aegas
korjama	`korjad
või	või
ei	eij
olema	olõ
üks+kõik	üks+kõik
jah	jah
jah	jahh
no	no
siis	siis
e	e
käima	`käüdi
pähkel	`pähklil
ka	kua
ju	ju
seal	siäl
Saare+maa	Suarõ+mal
jah	jahh
pähkel	`pähklil
käima	`käüdi
küll	küll
aga	aga
kui	kui
mees	mehed
e	e
laev	laõva
täide	`täüde
saama	said
kivi	kivä
täide	`täüde
saama	said
kus	kuss
siis	siis
e	e
naine	naõsed
jääma	jäid
siis	sis
tulema	tulid
naine	naõsed
ära	ää
ka	kua
kui	kui
täide	`täüde
saama	said
aga	aga
siis	siis
mees	mehed
minema	läksid
ju	ju
Riia	`Riiga
või	või
jah	jahh
naine	naõsed
minema	läksid
siis	siis
ka	kua
Riia	`Riiga
ei	ei
minema	lähä
kodunt	kodont
tulema	tulid
tulema	`tul'di
läbi	läbi
minema	`min'di
sihuke	`sioksõ
laev	`laõvõga
mis	miss
kodunt	kodont
läbi	läbi
tulema	tulid
mhmh	mhmh
minema	minnäkse
otse	otsõ
Riia	`Riiga
kas	kas
sina	sa
Riia	`Riigas
ka	kua
olema	olõd
käima	käün
või	või
lapse+põlv	lapsõ+`bõlvõs
käima	käösi
oma	oma
isa	isägä
või	võe
vend	vennägä
Peeter	`Pietrigä
kord	korra
ikka	kka
käima	käösi
ka	kua
Riia	`Riigas
no	no
mis+moodi	miss+`muõdi
see	sie
Riia	Riija
linn	ljõnn
olema	oli
ka	ka
siis	siis
rääkima	riägi
nüüd	nd
ise	ise
nemad	nendele
sina	sia
teadma	tiäd
palju	palju
paremini	paramini
siis	siis
olema	oli
ju	ju
siis	siis
olema	oli
vana	vanõmal
aeg	aeal
olema	oli
see	sie
linn	ljõnn
teist+moodi	teist+`muõdi
siis	siis
olema	oli
sihuke	`seokkõ
sama	sama
ei	eij
olema	olõ
sina	sio
ajal	`aõgõs
ühti	`ühti
teist+moodi	teist+modi
see	sie
tegema	`tehti
sõda	sõeaga
teist+moodi	teist+`muõdi
mina	mia
teadma	tää
keegi	kedägi
üsna	üsä
suur	suur
linn	ljõnn
olema	oli
noh	noh
mõni	mõnõs
koht	`kohtas
linn	`ljõnnas
hulkuma	`ulkmas
käima	käösitte
ka	kua
seal	siäl
vaatama	`vuattamas
linn	`ljõnna
või	või
ikka	`ikka
käima	`käüdi
ka	kua
mõni	mõnõ
koht	koha
peal	päl
mis	mis
need	ned
tore	torõdamad
koht	kohad
olema	olid
siis	siis
seal	siäl
mina	mia
mitte	mtte
mäletama	mälettä
mina	mä
olema	oli
laps	laps
kui	kui
käima	käösi
kesk+linn	kes+linn
olema	oli
tore	torõ
kroonu	kroono
aed	aed
ning	ning
olema	onn
ikka	`ikka
sihuke	`sioksõd
seal	siäl
käima	`käüwas
mitte	mtte
kari	karjast
tulema	`tul'di
siis	sis
leotama	`liottõtti
igavesti	igävest
kohe	kohe
olema	olid
kapp	`kappuga
vesi	vee
kapp	`kappuga
vastas	`vastas
karjane	karjatsõd
saama	said
iganes	igänes
leotama	`liotta
see	sie
olema	oli
see	see
pruuk	pruuk
siis	sis
kari	kari
kasvama	kasudõ
hästi	`ästi
kui	kui
kui	kui
leotama	`liottad
karjane	karjatsõd
leotama	`liotta
saama	said
aga	a
kas	kass
iga	egä
päev	päe
käima	`käüdi
kari	`karjas
või	või
ei	ei
käima	`käüwä
kevadel	keväde
loom	`luõmõga
käima	`käüdi
iga	egä
naa	naa
iga	egä
kevad	keväde
vara	vara
lamba+kari	`lamba+garjaga
et	õtt
see	sie
olema	oli
terve	terve
suvi	suvi
jah	jahh
küll	kül
see	sie
olema	oli
terve	terve
küla	külä
peale	piäle
käima	`käüdi
kari	karjas
ju	ju
või	või
jah	jahh
iga	egä
iga	egää
päev	päe
olema	oli
ise	ise
karjane	karjanõ
pere	pere
pere	perelt
jah	jahh
jah	jahh
noh	nohh
loom	luõma
tundma	tunnõb
ikka	`ikka
ära	ää
loom	luõma
tundma	tunnõb
ikka	`ikka
loom	luõm
tulema	tulõb
värav	värävä
taha	taha
siis	sis
no	no
suur	suurõm
loom	luõm
küll	küll
aga	aga
ei	ei
lammas	`lambad
ju	ju
ka	kua
lammas	`lambad
kõik	kõik
üks	`ühte
nägu	nägu
ju	ju
lammas	`lambad
tulema	tulavad
ka	kua
tundma	`tundvad
ära	ää
küll	küll
kus	kuss
kodu	kodo
olema	onn
aga	a
kas	kass
lammas	`lambal
õige	`õitte
mõni	`mõnda
märk	`märkki
ei	ei
tegema	tehäss
või	või
jaahh	jaahh
ikka	`ikka
tegema	`tehti
täht	täht
tegema	`tehti
kõrv	`kõrva
iga	igä
pere	pere
tegema	tegi
oma	oma
täht	tähe
kõrv	`kõrva
lammas	`lambalõ
lõikama	`lõikkas
vasikas	vas'sikkattõlõ
ning	ning
vasikas	vas'sikkad
olema	olid
ka	kua
lahti	`lahti
kõik	kõik
karja+maa	karja+ma
peal	piäl
need	ned
olema	olid
kaduma	kadun
mets	`metsi
kaudu	kaodu
teine	`teissi
küla	külädesse
kõik	`kõikki
kevadel	keväde
ajama	`aõtti
välja	`vällä
vahel	vahõl
sügis	sügüse
tulema	tulid
koju	koo
otsima	ot'sitti
üles	üles
täht	tähegä
tundma	`tun'tti
ära	ää
jälle	`jälle
suvel	sui
minema	läks
teine	teist
karv	`karva
jah	jahh
terve	`terve
suvi	sui
olema	oli
väljas	`välles
muidu	muedu
kaduma	kadun
aga	a
kuidas	kudas
lehm	lehmäd
käima	käösid
siis	siis
lehm	lehmäd
käima	käösid
kodu	kodo
ikka	`ikka
suvel	sui
päeval	päävä
olema	oli
rand	`randõs
öösel	`üese
mets	`metsäs
ise	ise
tulema	tuli
koju	koo
või	või
jah	jahh
ise	ise
tulema	tuli
ikka	`ikka
värav	väräväle
õhtul	`õhta
ning	ning
hommikul	umikku
ning	ning
hommikul	umikku
tulema	tuli
mets	metsäst
jälle	`jälle
värav	värävä
taha	taha
õhtul	`õhta
tulema	tuli
rand	rannast
jälle	`jälle
värav	värävä
kodunt	kodont
sööma	`seüwä
saama	`suama
aga	a
kuidas	kudas
e	e
hobu	obo
hobu	obo
pidama	`pietti
kuidas	kudas
hobune	`oostõga
olema	oli
hobune	obosõd
olema	olid
ka	kua
kõik	kõik
väljas	`välles
üle+üldse	üle+`ültse
üle+üldse	üle+`ültse
ja	ja
keegi	kellegil
olema	olõss
oma	oma
karja+maa	karja+maad
hobune	obosõd
olema	olid
lahti	`lahti
öösel	`üese
mets	`metsi
mets	`metsi
kaudu	kaodu
ning	ning
rand	`randõs
ning	ning
aga	a
kui	ku
hobune	uost
tarvis	taris
olema	oli
mis	miss
siis	siis
tegema	tehti
siis	siis
otsima	ot'sitti
üles	üles
siis	siis
käima	käü
see	selle
maa	mua
läbi	läbi
kus	kus
sina	sa
leidma	`leütsid
jälle	`jälle
üks	ühes
koht	kohast
kui	ku
tarvis	taris
olema	oli
aga	a
kuidas	kudass
siga	siad
olema	olid
ennem	ennemä
siga	siad
olema	olid
kah	kuahh
siga	siad
olema	olid
ka	kua
väljas	`väljäs
küla	külä
vahel	vahõl
küla+vahe	külä+vahõd
olema	olid
sitt	`sjõtta
täis	täüs
vaatama	`uatta
kus	kus
sina	sa
astuma	astud
mets	`metses
käima	käis
tõnguma	`tõngmas
ka	kua
vahel	vahõl
seal	siäl
tegema	tegid
paha	paha
siis	sis
ajama	`aetti
need	need
jälle	`jälle
kui	kui
seal	siäl
käima	käösid
talvel	`talvõ
olema	olid
siga	siad
väljas	`välles
jah	jahh
aga	a
üks	üks
ulu+alune	ulu+alune
tema	tal
olema	oli
kaa	kaa
või	või
e	e
mina	mio
mina	mio
lapse+põlv	lapsõ+`bõlvõs
olema	olid
väljas	`väljes
talvel	`talvõ
siga	siad
jah	jahh
ikka	`ikka
laut	`lauttõs
ka	ka
öösel	`üesi
toa+esine	tua+esise
uks	ustõlõ
tegema	`tehti
värav	väräväd
ette	ede
et	et
mitte	mtte
tuba	`tuasõ
tulema	tulõss
ikka	`ikka
olema	olid
väljas	`väljes
õu	`õuwõs
jah	jahh
ikka	kka
andma	`an'tti
sööma	`seüwä
ka	kua
õhtul	`õhta
ja	ja
hommikul	ummikku
andma	`an'tti
ikka	`ikka
sööma	`seüwä
ka	kua
jah	jahh
ikka	`ikka
söötma	süödetti
sügisel	sügüse
tapma	tappetti
ära	ää
aastane	`aastasõlt
teine	teise
aasta	`aasta
