ise	ise
kitsi	kitsi
tulema	tul'i
pere+naine	pere+naine
ise	ise
mõni	mõnes
koht	kõhas
pere+mees	pere+mes
aga	aga
kari	karja
kõrd	kõrrale
jah	jahh
kus	kuss
alla	`alla
kümme	`kümne
aasta	`uasta
ju	juo
siis	siis
see	selle
kaotama	`kauttasin
mets	`metsa
ära	ära
mõtlema	`mõtlesin
et	et
kas	kass
mina	maa
pidama	pian
siis	siss
loom	`luoomad
hoidma	`oidma
ja	ja
siis	siss
sina	sinu
tütar	tüttart
ehk	ehk
poeg	`puega
ka	kua
veel	viel
siis	siss
hakkama	`akkasin
miski	midagi
ise	ise
nosima	nos'ima
noh	nohh
lapse+kene	lapsekkene
jääma	jäi
vara	vara
hommik	ommukku
jääma	jäi
magama	magama
mina	minu
juurde	`juure
sinna	`sinna
küngas	`künkka
peale	`piale
ja	ja
asuma	asusin
eemale	edemalle
sealt	sialt
tasa	tasa
hiljukesi	illukkeste
ja	ja
mõni	mõn'i
mõni	mõn'i
saama	sain
rändama	`rändas
Piku+mets	Pikku+`metsa
ja	ja
saama	sai
õhtu	`õhtast
kui	kui
mina	mina
kodu	kodu
nii	niij
olema	õl'i
siis	siis
kui	ku
see	sie
korraline	kõrraline
ka	koa
jääh	jäähh
niske	`neske
ja	jaa
küla	küla
keskel	`keskel
ikka	ikke
kaks	kahel
pool	pool
talu	talud
jah	jahh
talu	talu
värav	veravatte
juures	juures
käima	käis
käima	käis
see	sie
aed	aed
mis	miss
olema	õl'i
see	see
vain	`vainu
siis	siis
nagu	nagu
kuhu	koho
loom	loomad
kogunema	kogusid
ja	ja
siis	siis
siit	siit
tulema	tul'i
mets	`metsä
minema	`mennä
jälle	`jälle
see	se
Kärasi	Kärasi
Kärasi	Kärasi
küla	küla
see	sie
mets	mets
tulema	tulõb
siia	seija
valitsus	val'itsuse
mets	metsäs
käima+ki	`käiski
jah	jahh
päris	peris
valitsus	val'itsuse
mets	metsäs
ja	ja
valitsus	val'itsuse
mets	mets
tulema	tulõb
vastu	vasta
siit	siit
see	seda
Maetma	`Maetma
piir	`piiri
mina	ma
käima	käisin
küla	küla
see	selle
Kärasi	Kärasi
küla	küla
kari	karjaga
käima	käisin
siin	siin
oma	oma
küla	küla
juures	juures
jaah	jaahh
kolm	kolm
kolm	kolm
kvartal	`kvartali
kolm	kolm
verst	`versta
olema	onn
see	seda
valitsus	val'itsuse
valitsus	val'itsuse
mets	`metsä
siis	siis
olema+ki	`ongi
Kärasi	Käräsi
küla	külä
ja	jaa
lõuna	`lõuna
ajal	aal
ja	ja
kui	kui
päev	pääv
jo	joo
lühike	lühikkest
minema	läks
sügisel	sügise
siis	siis
ei	ei
tulema	tuld
siis	siis
siin	siin
õhtu	`õhtani
ja	ja
ja	ja
nüüd	nüüd
kevadel	kevade
jälle	`jälle
kui	ku
päev	pääv
jo	joo
päev	pääv
ju	juo
lühike	lühikke
siis	siis
aga	aga
süda+suvi	süda+suvel
ikka	ikke
saama	sai
lõuna	`lõuna
aeg	aeal
käima	`käija
kodu	kodu
kodu	kodu
tund	`tun'di
pidama	pidämäs
noh	nohh
a	a
mis	mes
kari	karjas
vot	vott
olema	õl'ivad
kitsi	kitsid
pere+naine	pere+naesed
eks	eks
need	need
andma	and
silk	`silkku
ja	ja
leib	`leiba
kus	kuss
olema	õl'id
jälle	jälle
natuke	nattukke
parem	parem
need	nied
andma	an'nivad
ikka	`ikke
või	võid
ka	koa
ja	ja
ütlema	`öel'di
karjus	karjus
tulema	tuleb
kord	`kõrda
nüüd	nüüd
tegema	teeme
pirukas	piirakkaid
siis	sis
pirukas	piirakkad
alati	alat'ti
siis	sis
mõni+kord	mõn'i+gõrd
tüdinema	tüdines
ära	ää
see	see
pirukas	piirakka
kandmine	`kanmine
kandma	kanna
kandma	kanna
see	selle
korraline	kõrralisele
ka	koa
jah	jahh
ega	ega
korraline	kõrraline
ise	ise
ikka	ikke
vana	vana
kari	kari
istuma	`istus
seal	sial
ikka	ikke
olema	olnud
see	sie
toidu+moon	toidu+muon
mis	mis
märss	märss
see	sie
olema	õl'i
ka	koa
üks	üks
oma	oma
kase+toht	kase+tohost
tegema	`tehtud
niske	`niske
kes	kess
ei	ei
laskma	lase
vihm	`vihma
läbi	läbi
ega	ega
jah	jahh
ei	ei
see	sedä
võtma	`võt'sin
mets	metsast
ise	ise
loik	loigust
no	no
siin	siin
siin	siin
vahe+peal	vahe+beal
olema	õl'i
põline	põl'ine
olema	onn
suur	suur
soo	suo
nii	nii
ütlema	`üelda
siin	siin
Kärasi	Kärasi
ja	ja
Maetma	`Maetma
vahel	vahel
tema	ta
olema	onn
küll	küll
valitsus	val'litsuse
mets	metsäs
aga	aga
ja	ja
valitsus	val'itsuse
oma	oma
see	seda
kaup	`kauba
tegemine	tegemise
ajal	aal
ütlema	`üel'di
ka	koa
et	et
suur	`suurde
soo	`suosse
ei	ei
tohtima	tõhi
kari	`karja
laskma	`lasta
see	see
vana+aegne	vana+`aegne
umb+järv	umb+järv
vana+põlvine	vana+bõl'vine
teadma	teab
võib+olla	võib+õlla
tuhat	tuhanded
aasta	`oastad
millal	millal
olema	onn
tema	ta
järv	järv
olema	õld
aga	aga
nüüd	nüüd
olema	onn
mõni	mõnes
paik	paigas
olema	onn
niske	`nisked
suur	suured
laugas	`laukkad
sees	sies
kui	kui
loom	luom
minema	lähäb
siis	siss
olema	õle
kärme	kärme
ja	ja
et	et
et	et
tema	ta
kuidagi	kudagi
kael	kaela
alla	`alla
saama	saab
miski	midagi
panema	`panna
et	et
tema	ta
ära	ära
ei	ei
uppuma	uppu
jah	jahh
aga	aga
mina	mina
kaks	kaks
suvi	suve
mina	ma
käima	käisin
seal	sial
küla	küla
kari	karjas
aga	aga
üks	ühe
ainus	`ainsa
kord	kõrra
kaks	kaks
loom	`luoma
sinna	sinna
laugas	`laukkasse
minema	läksivad
aga	aga
siis	siss
mina	mena
raiuma	`raijusin
kirves	`kervega
raiuma	`rais'si
ja	ja
korraline	kõrraline
kohe	kohe
üks	üks
tüdruk	tüdrikku
plika	plikka
olema	õl'i
see	selle
saatma	`soadin
kodu	kodu
no	no
seal	sial
kaks	kaks
verst	`versta
olema	õl'i
minema	`mennä
seal	sial
et	et
kutsuma	kutsu
pere+mees	pere+mees
abi	`appi
pere+mees	pere+mes
siis	siis
tulema	tul'i
abiline	abil'isega
ja	ja
köis	köis
ka	koa
ühes	ühes
ja	ja
siis	siis
köis	köije
panema	pan'i
kõht	kõhu
alt	alt
lehm	lehmal
läbi	läbi
ja	ja
siis	siis
tõstma	`tõs'time
no	no
see	sie
abiline	abil'ine
ja	ja
tõstma	tõs'time
üles	ülesse
ja	ja
siis	siis
aitama	`aittasime
lehm	lehma
nii	nii
kaua	kavva
kui	ku
sealt	siält
laugas	`laukkast
välja	`väl'jä
ja	jaa
siis	siis
tema	ta
minema	läks
tulema	tul'i
isegi	isegi
ju	juo
jah	jahh
kõndima	`kõn'dis
vat	vat
kuidas	kuda
kuidas	kuda
see	sie
olema	põle
meel	miiles
nii	niij
et	et
ikka	ikke
teenija	`tienija
tüdruk	tüdrukku
palk	palk
ikka	ikke
tulema	tul'i
suvi	suvega
nagu	nagu
tüdruk	tüdrik
teenima	`tienis
kuskil	`kos'ki
tütar+laps	tüttar+laps
või	vai
nii	nii
teenima	`tienis
aasta	`oasta
aga	aga
mina	mina
teenima	`tienisin
see	selle
kolm+teist+kümmend	kolme+dõis+`kümne
aastane	`oastane
aga	aga
mina	maa
teenima	`tienisin
ikka	ikke
ju	juo
see	selle
tüdruk	tüdrikku
palk	palga
seal	sial
raha+palk	raha+balk
aga	aga
siis	siis
sügisel	sügise
andma	`an'tti
iga	igast
pere	perest
kartul	karttul'i
lehm	lehma
pealt	pialt
nii	nii
kui	kui
lehm	lehm
jah	jahh
noh	nohh
kui	kuij
olema	õl'i
kolm	kolm
neli	nel'i
lehm	`lehma
siis	siis
koorem	`kuorem
saama	sai
koorem	`kuorem
kartul	`karttulit
saama	sai
tükk	tükk
liha	liha
ja	ja
ja	ja
kes	kellel
ei	eij
olema	õld
ehk	ehk
või	võid
ehk	ehk
siis	siss
nisuke	nesukkest
peale	`piale
see	sie
muu	muu
küla	küla
moon	muon
maksma	`maksis
üks	ühe
väike	väk'kese
palk	palga
aga	aga
raha+palk	raha+balk
olema	õl'i
ikka	ikke
ise	ise
ka	kua
raha+palk	raha+balk
tulema	tul'i
ka	koa
ikka	ikke
nii	nii
kaks+kümmend	kahe+`kümne
rubla	rubla
ümber	`ümber
nagu	nagu
see	sellel
aeg	aeal
olema	õl'ivad
ikka	ikke
Vene	vene
Vene	vene
raha	raha
ja	ja
Vene	vene
rubla	rublad
mis	mess
jüri+päev	jüri+bääv
jah	jahh
see	se
olema	onn
kahe+kümne+kolmas	kahe+`gümne+kolmandamal
või	vai
või	või
kevadel	kevade
sügisel	sügise
lumi	lumen'i
nii	nii
olema	õl'i
nagu	nagu
suur	suur
osa	osa
olema	onn
kes	kellel
ei	eij
olema+ki	`õldki
oma	õma
krunt	`krun'tti
kuhu	koho
tema	ta
siis	siis
panema	paneb
oma	õma
lehm	lehmad
ikka	ikke
kes	kesse
ei	eij
olema	õlnd
see	seda
see	seda
siin	siin
enam	enamb
ei	eij
olema	õlnd
Vene	vene
rahvas	`rahva
hulgas	ulgas
olema	õl'i
küll	küll
aga	aga
nagu	nagu
siin	siin
Eesti	`iesti
rahvas	`rahva
hulgas	ulgas
Vene	vene
rahvas	`rahval
papp	papp
käima	käis
kui	kui
küla	küla
esimene	es'imesel
päev	pääval
kui	kui
loom	loomad
välja	`väl'lä
ajama	`aet'ti
siis	siis
papp	papp
tulema	tuleb
õnnistama	õn'nistab
ära	ää
kõik	kõik
loom	luomad
ja	ja
Vene	vene
Vene	vene
rahvas	`rahval
aga	aga
aga	aga
siis	sis
eestlane	`iestlasil
ei	eij
olema	õld
ei	ei
see	sie
ei	ei
mina	minu
võib+olla	võib+õlla
vana	vanemal
aeg	aeal
kui	ku
mina	minu
isa	isa
kari	karjas
käima	käis
siis	siis
ehk	ehk
miski	`mis'ki
aga	aga
nüüd	nüüd
enam	enamb
ei	eij
olema	õlnd
keegi	kedagi
nüüd	nüüd
miski	`miskit
niske	`nesket
kunst	`kun'tsi
ei	eij
olema	õlnd
nali	nal'la
pärast	pärast
viskama	visat'ti
vesi	vett
sina	`sulle
veel	veel
see	sie
see	seda
tegema	`tehti
siis	siis
mis	mess
viskama	visat'ti
vesi	vett
sina	`sulle
pere+naine	pere+naene
viskama	`vis'kas
vat	vat
see	seda
ei	ei
teadma	tia
see	seda
ei	ei
teadma	tia
no	no
küll	küll
nemad	nad
ikka	ikke
ise	ise
teadma	`tiatsid
aga	aga
see	sell
aeg	aeal
mina	mina
niske	`nis'ked
kunst	`kun'tsi
enam	enamb
ei	ei
see	sell
aeg	aeal
enam	enam
mina	maa
niske	`nis'ked
kunst	`kun'tsisid
ega	ega
nõidumine	`nõidumist
see	seda
mina	ma
enam	enamb
ei	ei
kartma	kartnd
jah	jahh
no	noo
jah	jahh
no	noo
vana	vanemal
aeg	aeal
olema	õl'i
need	neil
ikka	ikke
see	sie
tõde	tõe
asi	as'i
ka	koa
jah	jahh
aga	aga
see	sell
mina	minu
aeg	aeal
kui	kui
mina	minu
mäletus	mälettuses
siis	siis
niske	`neskene
kunst	kun'tsi
asi	as'i
see	sie
olema	õl'i
ju	juo
kaduma	kadund
jah	jahh
noh	nohh
mõni	mõned
kartma	kardivad
kartma	kardivad
need	need
siuke	siukst
nõidumine	`nõidumist
või	või
mõni	mõned
vana	vanad
naiste+rahvas	naiste+`rahvad
see	sell
aeg	aeal
ka	kua
ikka	ikke
mina	minu
kui	ku
mina+ki	minagi
kari	karjas
käima	käesin
kartma	kardivad
ka	koa
ikka	ikke
veel	veel
nõidumine	`nõidumist
ja	ja
oh	ohh
mina	ma
ei	i
mina	ma
ei	i
tahtma	taha
miski	`miski
miski	`miski
ikka	ikke
kaitsma	`kaitses
loom	`luoma
miski	`miski
asi	as'jaga
ja	ja
pasun	pasunat
see	selle
mina	ma
tegema	tegin
ise	ise
mina	ma
tegema	tegin
ikka	ikke
nii	nii
nii	nii
pikk	pikka
nagu	nagu
siit	siit
lagi	laest
põrand	põrandalle
puu	puu
puu	puu
tegema	tegin
teine	teise
ots	õtsa
peen	`pienest
teine	teine
ots	õts
jäme	jäme
ja	ja
siis	siss
tegema	tegin
lõhki	`lõhki
see	selle
ja	ja
see	sie
õõnes	`õõnest
ja	ja
siis	sis
toht	tohi
peale	`piale
toht	tohi
tüvi	tüvi
kuskil	`kus'kil
nii	nii
kaua	kavva
kui	kui
sinna	sinna
peen	`piene
ots	õtsani
jah	jahh
siis	siis
see	sellega
kui	kui
puhuma	`puhkusid
siis	siss
see	sie
kuuluma	`kuulus
ikka	ikke
rohkem	`rohkemb
ikka	ikke
kui	kui
üks	ühe
kilo+meeter	kilu+`meetri
kui	ku
vagane	vagane
ilm	ilm
jah	jahh
jah	jahh
kaks	kaks
koer	`kuera
olema	õl'i
mina	mina
ei	i
teadma	tia
kas	kas
need	nee
kõrv	kõrvad
või	või
või	või
tema	ta
olema	l'i
ka	koa
nii	nii
veri	veres
kui	kui
kui	kui
mina	ma
hakkama	`akkasin
küla	küla
vain	`vainu
peal	pial
puhuma	`puhkuma
pasun	pasunet
siis	siis
koer	kuerad
hakkama	`akkasid
kodu	kodu
ju	juo
ulguma	`ulguma
nii	nii
kaua	kavva
kui	kui
pasun	pasuna
ots	õtsa
juurde	`juure
ja	ja
siis	siis
siis	siis
mõlemad	mõlemad
teine	tõine
olema	õl'i
suur	suuremb
koer	kuer
teine	tõine
heledasti	eledast
ja	ja
siis	siis
see	sie
juba	juba
lõbu	lõbu
asi	as'i
kuulama	kuulatta
kõik	kõigil
küla	küla
rahvas	`rahval
pasun	pasun
puhuma	puhub
oma	õma
puhumine	`puhkumist
ja	ja
koer	kuerad
teine	teene
heledasti	eledast
teine	teene
kume	kumedam
see	sie
praegu	`paerga
veel	veel
mõni	mõn'i
mina	minu
kes	kess
mina	minu
aeg	aeal
kord	kõrral
käima	käisivad
need	nied
rääkima	`riagivad
ikka	ikke
olema	õl'ivad
nii	nii
kümme	`kümne
aasta	`oasta
ümbruses	`ümbruses
siis	siis
no	no
mina	mina
olema	õl'in
kolm+teist+kümmend	kolme+dõist+`kümne
ja	ja
teine	tõine
suvi	suvi
neli+teist+kümmend	nel'ja+dõis+`kümne
aastane	`oastane
või	väi
viis+teist+kümmend	viije+dõis+`kümne
aga	aga
siis	siss
nüüd	nüüd
praegu	`paerga
nüüd	nüüd
enam	änam
veel	viel
praegu	`paerga
seal	sääl
Kärasi	Käräsis
veel	viel
need	neid
kes	kess
mina	minu
ajal	aal
need	nied
pere+naine	pere+naised
ja	ja
pere+mees	pere+mehed
olema	onn
kõik	kõik
surema	surnud
aga	aga
aga	aga
need	nied
kes	kess
mina	minu
vanune	vanused
need	nied
need	nied
praegu	`paerga
käima	käiväd
veel	vel
siin	siin
meie+ki	`meidki
käima	käivad
nagu	nagu
kost	kos'tis
ehk	ehk
ja	ja
miski	midagi
siis	siis
ja	ja
ja	ja
üks	üks
tädi+poeg	tädi+boeg
elama	elab
elama	elab
ka	koa
Kärasi	Käräsis
see	sie
see	sie
käima	käib
ikka	ikke
meie	meil
vaatama	`vaattamas
ja	ja
Ilves	Ilvess
Ilves	Ilves
ja	ja
Ilves	Ilves
olema	onn
need	neil
need	neil
olema	onn
prii+nimi	prii+nimi
või	või
jah	jahh
Ilves	Ilvesse
koer	kuer
olema+ki	õl'igi
see	sie
üks	üks
väike	vek'ke
koer	kuer
see	see
see	see
olema	õl'i
niske	netske
kui	kui
sina	sa
see	seda
rästik	räs'tikkut
nägema	nägid
kuskil	`kos'ki
küngas	`künkka
peal	piäl
siis	siis
ei	eij
olema	õld
muu	mut
kui	kui
hõikama	`õikkasid
Muri	Muri
näitama	`näittäsid
sõrm	sõrmega
sinna	`sinnä
siis	siis
tema	ta
tulema	tul'i
vaatama	`vaattas
vaatama	`vaattas
ja	ja
hüppama	`üppas
kohe	kõhe
ja	ja
ja	ja
seal+samas	siäl+sama
raputama	rapputtas
siis	siis
olema	õl'i
tükk	tükkid
suu	suust
kaduma	kadund
jah	jahh
üks	üks
püha+päev	püha+bääv
üks	üks
meeste+rahvas	mieste+rahvas
tulema	tul'i
kõrd	kõrrale
natuke	nattukkene
nõnda	nõnna
nagu	nagu
pea	pia
olema	õleks
segane	segane
see	sell
mees	mehel
või	või
nii	nii
looma	`luodud
kohe	kõhe
jah	jahh
olema	õl'ime
päev	päävä
vari	varjus
kuusk	kuuse
kuusk	kuuse
vari	varjus
ja	ja
tõusma	tõõseme
üles	üless
seal	siäl
ja	ja
suur	suur
rästik	räs'tik
seal	sial
kõveril	kõveril
aga	aga
ega	ega
mina	mina
ei	i
ütlema	üeld
et	et
et	et
et	et
et	et
panema	pane
sina	sa
jooks	`juoksu
ja	ja
mina	ma
ikka	ikke
ütlema	`ütlesin
Muri	Murri
tulema	tule
vaatama	`vaatta
Muri	Muri
olema	õl'i
see	selle
koer	kuera
nimi	nimi
ja	jaa
mina	ma
ise	ise
pistma	`pis'tin
jooks	`juoksu
aga	aga
tema	täma
jääma	jäi
vahtima	`vahtima
sinna	sinnä
ja	ja
kui	kui
see	se
koer	kuer
tulema	tul'i
kui	kui
võtma	`võt'tis
kui	kui
raputama	rapputtas
üks	ühe
kord	kõrra
väheke	vähä
ja	ja
eks	eks
üks	üks
torakas	toorakkas
kargama	kargas
pikku	pikku
silm	`silmi
see	selle
mees	mehele
jah	jahh
jah	jahh
mees	mies
hakkama	akkas
nutma	`nutma
jah	jahh
tema	ta
mõtlema	`mõtles
et	et
olema	õnn
olema	onn
nii	nii
kihvtine	kiftine
et	et
tapma	tappab
ära	ära
tema	temä
võib+olla	võib+õlla
minema	läks
ega	ega
mina	mina
teadma	tia
läbi	läbi
käsi	kää
võima	võis
suu	suhu
ka	koa
minema	`mennä
jah	jahh
oja	õea
olema	õl'i
ligi	ligi
mina	maa
ütlema	`ütlesin
et	et
Mihkel	`Mihkel
olema	õl'i
see	selle
mees	mehe
nimi	nimi
mina	ma
ütlema	tlin
kuulma	kuule
Mihkel	`Mihkel
minema	mene
et	t
oja	õea
jaole	`jaule
pesema	pese
ära	ää
sina	sa
olema	oled
ju	jo
nii	nii
ropp	ropp
vata	vatta
see	se
rästik	räs'tik
ju	juo
koer	kuer
raputama	rapputtas
tema	ta
nii	nii
puru	puru
jah	jahh
jaah	jaahh
oo	oo
need	neid
olema	õl'i
siin	siin
iga	iga
selts	`sel'tsi
suur	`suuri
ja	ja
väike	vek'kesid
ja	ja
jah	jahh
palju	pal'lu
nagu	nagu
kevadine	kevadene
aeg	aeg
siis	siis
nemad	näd
olema	onn
poeg	`puegi
täis	täis
tooma	tuob
kuus	kuus
seitse	setse
poeg	`puega
jah	jahh
koer	koer
raputama	rapputtas
või	või
mõni	mõnel
olema	õl'i
nii	niij
et	et
võib+olla	võib+olla
olema	oleks
see+sama	see+sama
päev	pääv
tooma	toond
raputama	rapputtas
ja	ja
poeg	poead
minema	läksid
jooks	`juoksu
kohe	kõhe
võib+olla	võib+õlla
tema	tä
olema	oleks
ise	ise
poegima	`poegind
ära	ära
aga	aga
koer	koer
raputama	rapputtas
nemad	nad
nemad	nad
ja	ja
üks+kord	ühe+kõrra
siin+samas	siin+sama
ju	juo
Maetsma	`Maetsma
küla	küla
ligi	ligi
no	no
ei	i
olema	õlnd
üks	üks
üks	üks
üks	üks
nii	nii
piku+kene	pikkukkene
see	se
olema	õl'i
üks	üks
kevadine	kevadene
poeg	pueg
või	vai
jah	jahh
pugema	puges
tõrvane	tõrvaste
juur	juurtte
alla	`alla
jah	jahh
aga	aga
siis	siis
nägema	nägi
juur	juured
nii	nii
kõrgel	`kõrgel
ja	ja
õõnes	`õõned
ja	ja
mina	mina
ütlema	ütlin
Muri	Murile
et	et
Muri	Muri
tulema	tule
vaatama	`vaatta
ja	ja
Muri	Muri
tulema	tul'i
pugema	puges
sealt	siält
sinna	sinnä
alla	`alla
ja	ja
niiksatama	niiksattas
seal	sial
all	all
ja	ja
tulema	tul'i
välja	`väl'ja
ei	eij
olema	õle
suu	suus
ei	ei
keegi	kedagi
ja	ja
mina	mina
mõtlema	`mõtlesin
et	et
tema	tä
kartma	`kart'tis
see	sedä
minema	läksime
natuke	nattukke
edasi	edesi
hakkama	`akkasime
sööma	`süömä
mina	minä
viskama	`viskan
koer	kuerale
leib	`leiba
ajama	aeab
see	seda
leiva+tükk	leevä+`tükki
ja	ja
ja	ja
mis	miss
asi	as'i
see	se
olema	onn
tegema	tien
koer	kuera
suu	suu
lahti	`lahti
koer	koera
keel	kiel
olema	õl'i
nii	nii
tema	tä
olema	on'
ju	ju
nii	nii
õhuke	õhukkene
aga	aga
siis	siis
olema	õl'i
ümmargune	ümmargusest
minema	lähnd
jah	jahh
nii	nii
paistetama	paisettand
jah	jahh
muud+kui	muut+ku
nutma	`nut'tin
veel	vel
tükk	tükk
aeg	`aega
et	et
see	sie
sõber	sõber
kaduma	kaub
jah	jahh
teadma	tiad
laps	lapse
asi	as'i
no	noo
see	sie
kolm+teist+kümmend	kolme+dõis+`kümne
aastane	`oastane
ja	ja
tema	ta
olema	õl'i
alati	alat'ti
mina	minu
abiline	abil'ine
aga	aga
kolm	kolm
päev	`päävä
olema	õl'i
kodu	kodu
ait	aida
all	all
vilu	vilus
magama	magas
jah	jahh
aga	aga
siis	siss
ikka	ikke
ei	ei
tulema	tuld
sööma	`süöma
ega	ega
et	et
tema	ta
ikka	ikke
surema	sureb
ära	ära
aga	aga
aga	aga
ära	ärä
ei	i
surema	surd
ju	juo
neljas	nel'jändäl
päev	pääväl
ju	juo
tulema	tul'i
jälle	`jälle
kari	`karja
mis	mess
terve	`tervest
jah	jahh
ikka	ikke
see	se
mürk	mürk
ei	ei
mürk	mürk
nii	nii
võib+olla	võib+õlla
inimene	in'imese
tema	ta
olema	oleks
ära	äe
aga	aga
koer	koerale
ütlema	`üeldasse
ikka	ikke
et	t
koer	kuera
keel	kielel
olema	onn
üheksa	üheksa
arst	`ar'sti
arst	ar'sti
rohi	`rohtu
noh	nohh
tema	ta
nõelama	`naelas
see	sell
aeg	aealgi
siin	siin
Kärasi	Kärasis
üks	üht
poiss	`pois'si
see	sie
minema	läks
Kõrve+küla	Kõrve+gülal
see	sie
olema	onn
jah	jahh
mõni	mõn'i
verst	verst
Kärasi	Kärasist
siia	`seije
Avi+nurme	Avi+nurme
poole	`puole
või	vai
tulema	`tulla
minema	läks
tooma	`tuoma
nagu	nagu
enne	`enne
tegema	`tehti
puu+vanker	puu+`vankrid
ja	ja
laskma	`las'ti
nüüd	nüd
käämer	`kiämbriga
või	vai
niske	`neske
käämer	`kiämer
kes	kellega
need	ned
rumm	rummu
auk	augud
tegema	`tehti
jah	jahh
minema	läks
see	sedä
käämer	`kiämbrid
sealt	siält
Kõrve	Kõrvelt
tooma	`tuoma
ja	ja
ei	ei
vaatama+ki	vaadantki
ja	ja
eks	eks
see	sie
rästik	räs'tik
olema	õl'i
tee	tie
seal	siäl
olema	on
nagu	nagu
vanker	`vankri
tee	tie
ega	ega
tema	teda
tegema	tehtud
tee	tie
ei	ei
olema	õld
kohe	kõhe
nagu	nagu
kruusatama	kruusattud
ja	ja
see	sie
rästik	räs'tik
olema	õl'i
seal	siäl
roobas	`ruoppas
ja	ja
tema	tä
palja+jalu	`pal'ja+jalu
ja	ja
suvi	suvve
aeg	aeal
ja	ja
eks	eks
nõelama	`naelas
jah	jahh
aga	aga
tema	tä
see	selle
käämer	`kiämbriga
nurk	nurgaga
kohe	kõhe
võtma	`võt'tis
lõikama	`lõikkas
need	nied
hammas	`amba
jälg	jäl'jed
see	selle
jalg	jala
küljest	kül'jest
ära	ärä
jah	jah
jah	jahh
kodu	kodu
vari	varju
alla	`alla
no	nuo
vana	vanad
rahvas	`rahvad
see	sell
aeg	aeal
ikka	`ikke
ütlema	`üel'di
et	et
tuli+hoone	tul'i+`uone
alla	`alla
ei	ei
tohtima	tõhi
minema	`mennä
see	sie
kes	kess
kes	keda
uss	us's
nõelama	`naelab
aga	aga
tema	tämä
minema	läks
käima	käis
ikka	`ikke
tuli+hoone	tul'i+`uone
all	all
ja	ja
natuke	nattukkene
paistetama	paisettas
aga	aga
aga	aga
tema	taa
tema	taa
lõikama	`leikkas
see	selle
see	selle
kihvt	kihvti
kohe	kõhe
kui	ku
tema	ta
kohe	kõhe
lõikama	`leikkas
käämer	`kiämbriga
ära	ärä
ja	ja
kes	kellel
kes	kellel
olema	on
hea	ia
terve	terve
et	et
sina	sa
teadma	tiäd
et	ett
olema	on
terve	terve
suu	suu
ja	ja
kui	ku
see	sie
rästik	räs'tik
nõelama	`naelab
siis	siis
kuidagi	kuidagi
nagu	nagu
mari	mar'ja
korjamine	`korjamisega
vahest	vahest
käsi	kääst
ära	ära
nõelama	`naelab
siis	siis
kohe	kõhe
kiiresti	`kiirest
imema	ime
ära	ärä
ja	ja
sülitama	sül'ittä
maha	maha
aga	aga
kui	kui
sina	sa
teadma	tiad
et	et
et	et
sina	sinu
suu	suu
terve	terve
ei	ei
või	või
olema	onn
vahest	vahest
hammas	ammas
haige	`aige
ehk	hk
miski	midägi
ja	ja
ära	ärä
siis	siis
siis	siis
minema	lähäb
see	sie
kihvt	kihvt
sinna	`sinna
olema	onn
nii+sama	nii+sama
nagu	nagu
olema	õleks
uss	us's
nõelama	naeland
jah	jahh
noh	nohh
apteek	`aapteegist
ikka	ikke
tooma	`tuodi
aga	aga
suur	suur
osa	osa
ikka	ikke
see	sie
kärmesti	`kärmest
saama	saad
et	et
et	et
nuga	noa
või	või
see	selle
lõikama	`leikka
see	sie
siin+samas	siin+sama
meie	meije
ligidal	ligidäl
nüüd	nüüd
kui	kui
see	se
sõda	sõea
sõda	sõea
liin	liin'
olema	õl'i
siis	siis
siin	siin
üks	üks
poiss	poiss
meie	meije
ligidal	ligidäl
tema	täma
ema	ema
tema	tä
nõelama	`naelas
aga	aga
see	se
olema	õl'i
ikka	ikke
see	se
olema	õl'i
küll	küll
suur	suur
ikka	ikke
üks	üks
nii	nii
pikk	pikk
rästik	räs'tik
jah	jahh
aga	aga
tema	taa
ka	kaa
seal	sial
mets	metsas
oma	omal
ikka	ikke
nuga	nuga
juures	juures
ja	ja
lõikama	`leikkas
ema	ema
ei	eij
hoolima	`uol'ind
korv	korvist
ikka	ikke
isa	isa
tulema	tul'i
ikka	ikke
jaani+päev	jaan'i+bääva
lau+päeval	`lauba
tulema	tul'i
hobune	obusega
tulema	tul'i
sinna	sinna
Kärasi	Kärasi
siis	siis
ikka	ikka
pere	peres
kord	`kõrda
siis	sis
sealt	sialt
minema	läks
kari	`karja
mina	minu
eest	iest
õhtu	`õhta
poole	`puole
siis	siis
mina	maa
käima	käisin
isa	isaga
jälle	jälle
piki	pikku
küla	küla
iga	igas
pere	peres
kus	koss
olema	õl'i
kaks	kaks
lehm	`lehma
seal	sial
saama	sai
neli	nel'i
muna	muna
kui	kuij
olema	õl'i
mullikas	mul'likkas
ka	koa
siis	siis
see	sie
üks	üks
muna	muna
siis	siis
viis	viis
muna	muna
jah	jahh
iga	iga
iga	iga
lehm	lehma
pealt	pialt
kaks	kaks
muna	muna
ja	ja
jaani+päev	jaan'i+bääv
pool	puol
vähem	vähäm
jaani+päev	jaan'i+bääv
kui	kui
tulema	tul'i
siis	siis
olema	õl'i
jälle	`jälle
üks	üks
muna	muna
neli+pühad	nel'i+bühil
jah	jahh
need	nied
tulema	tul'in
kodu	kodu
püha	püha
pidama	pidämä
sealt	sialt
kari	karjast
ära	ära
kaks	kaks
päev	`pääva
