kosjas	kosjas
jälle	`jälle
vahele	vahele
need	neid
tulema	tuli
ka	koa
ette	`ette
eheh	eheh
no+jah	noo+jahh
noh	nohh
e	e
kas	kas
tema	ta
siis	siis
ei	ei
teadma	tiand
nii	nii
kähku	`kähku
minema	`menna
mitte	`mette
või	või
ja	ja
tüdruk	tüdruk
teadma	teand
tema	ta
peale	`peale
siis	siis
e	e
kindel	`kindel
ka	koo
olema	`olla
mitte	`mette
ja	ja
minema	läks
teine	teisele
aga	aga
noh	nohh
need	neid
tulema	tuli
siin	sii
palju	paelu
ikka	`ikka
ette	`ette
siis	sis
minema	`mendi
vahele	vahele
kihlamine	`kihlamest
jah	jahh
no	no
seal	seal
e	e
mina	ma
ütlema	ütsin
minema	`mendi
õpetaja	õppettaea
juurde	`juure
et	et
tahtma	tahvad
e	e
abielluma	`abielluda
aga	aga
sõrmus	sõrmused
panema	`pandi
laulatamine	laalattamise
aeg	`aegas
sõrmus	sõrmust
ei	ei
panema	`pandud
ainult	ainult
andma	`andsid
üles	ülesse
nemad	naad
tahtma	tahvad
abielluma	`abielluda
siis	siis
õpetaja	õppettaea
kuulutama	kuuluttas
kogudus	kogudusel
see	seda
no	no
mina	ma
ei	i
teadma	tea
hüüdma	`öetti
vist	vist
jah	jahh
lugemine	lugemisele
jah	jahh
viimane	viimasel
aeg	aeal
hüüdma	`öetti
ikka	`ikka
kihlus	`kihlusele
aga	aga
muu	muud
kihlus	`kihlust
olema	polnd
seal	seal
keegi	kedagi
ega	ega
sõrmus	`sõrmusi
ei	ei
panema	`pandud
ainult	ainult
üles	üless
andma	anda
tahtma	tahvad
abielluma	`abielluda
ja	ja
no+jah	no+jahh
siis	siss
olema	oli
kolm	kolm
nädal	nädalid
aeg	`aega
ennem	ennem
kui	kui
laulatama	laaulattada
saama	sai
no	no
see	selle
aeg	aea
sees	sees
siis	siis
muretsema	muretsetti
tegema	`tehti
veim	`veime
ja	ja
veime+vakk	veime+`vakka
ja	ja
ja	ja
seadma	`säätti
pulm	pulma
vastu	`vastu
ja	ja
pulm	pulma
katus	kattusel
pidama	pidi
lipp	lipp
olema	olema
e	e
muidu	muidu
pulmaline	pulmalest
ei	ei
teadma	tea
ju	ju
e	e-e
mis+sugune	missukke
talu	talu
seal	seal
pulma+talu	pulma+dalu
kaugemalt	`kaugemalt
sugulane	sugulased
tulema	tulid
aga	aga
siis	siis
lipp	lipp
olema	oli
katus	kattusel
siis	siis
teadma	`tiadsid
küll	küll
kus	kuss
pulma+maja	pulma+maea
olema	oli
e	e
noh	nohh
e	e
kutsuma	kutsutti
ikka	`ikka
oma	oma
sugulane	sugulasi
palju	paelu
võõras	`võeraid
ei	ei
kutsuma	kutsuttud
ikka	`ekka
oma	oma
sugulane	sugulased
pidama	pidid
olema	olema
noh	nohh
naa	na
kuidas	kuidas
siis	siis
pulm	pulm
tulema	tuli
kui	kui
olema	olid
suur	suuremad
pulm	pulmad
ju	ju
siis	siis
kutsuma	kutsutti
kaugemalt	`kaugemalt
sugulane	sugulasi
ja	ja
kui	kui
olema	olid
väike	`väiksemad
siis	siis
olema	olid
väike	`väiksed
pulm	pulmad
ja	ja
pruut+tüdruk	pruut+tüdrukkud
ja	ja
e	e
pruut	pruudil
e	e-e
pidama	pidi
olema	olema
kui	kui
nemad	nad
laulatama	laalattama
minema	läksid
e	e
altar	`alttari
ees	ees
olema	oli
pruut+paar	pruut+paar
see	selle
järel	järel
siis	siis
olema	oli
kõrvane	kõrbatsi
mees	mees
ja	ja
kõrvane	kõrbatsi
naine	naine
e	e-e
hüüdma	`öetti
pruut	pruudi
poolt	poolt
olema	oli
pruut	pruudi
sugulane	sugulane
olema	oli
naine	naine
ja	ja
ja	ja
mees	mees
olema	oli
peig+mees	`pei+me
poolt	poolt
ja	ja
siis	siis
olema	olid
e	e
peiu+poiss	peiju+boiss
ja	ja
pruut+tüdruk	pruut+tüdruk
kõik	kõik
olema	olid
veerg	`viirgas
üks+teise	ühe+deise
järel	järel
altar	`alttari
ees	ees
ja	ja
peiu+poiss	peiju+boistel
olema	olid
valge	`valged
lint	lindid
rind	`rendus
e	e
valge	`valge
lint	lindiga
ja	ja
e	e-e
mürdi+oks	mürdi+oks
siis	siis
ees	ehes
jaa	jaa
ja	ja
seal	seal
mägi	mäe
pool	pool
seal	seal
olema	oo
liivane	liivane
maa	maa
kruus	ruusi
kruus	ruusi
auk	aogud
olema	onn
siin	sii
Tamme	Tamme
küla	külas
kruus	`ruusi
vedama	`väetti
siit	siit
ennem	ännem
vald	vald
vedama	vädas
e	e
kruus	`ruusi
siit	siit
päris	päris
vald	valla
kruus	ruusi
auk	aogud
olema	olid
siin	sii
see	need
olema	oo
seal	säl
mägi	mäe
pool	pol
siit	siit
hommik	omigu
poole	poole
minema	lähäd
kui	kui
siit	siit
e	e
maantee	`maante
haru	arude
pealt	pealt
minema	lähäd
hommik	omigu
poole	`poole
et	et
see	need
olema	onn
seal	seal
e	e
mehh	mehh
e	e
no	no
see	see
siin+pool	sii+bol
olema	onn
pae+põhi	pae+bõhi
siin	siin
see	need
põld	põllud
ja	ja
ja	ja
meie	mede
põld	põllud
olema	onn
ka	koa
siin	sii
all	all
olema	on
ikka	ekke
paas	paas
e	e
ei	ei
siin	siin
maja	maea
ümber	`ümber
ei	eij
olema	ole
aga	aga
seal	seal
kaugemal	`kaugemal
olema	onn
ka	koa
jälle	jälle
ikka	`ikke
üsna	üsna
ligidal	ligidal
paas	pae
pind	penna
peal	peal
jah	jahh
nii	nii
et	et
ennem	ennem
saama	sai
kündma	künda
ikka	ekke
paas	pae
pealt	pealt
saama	sai
vahel	vahel
laskma	`laske
aga	aga
siin	siin
maja	maea
ümber	`ümber
olema	onn
meie	meil
hea	ea
maa	maa
kõik	kõik
see	se
e	e
põld	põld
kus	kus
nüüd	nüd
tee	tee
läbi	läbi
käima	köib
see	see
olema	oli
üks	üks
kolmandik	`kolmandis
ja	ja
see	se
olema	oli
ikka	ikka
hea	ea
maa	maa
sügav	sügava
muld	mulla
maa	maa
no	no
vat	vat
mina	maa
ei	i
teadma	tea
see	seda
e	e
no	noo
tema	ta
mõni	mõnes
koht	`kohtas
olema	onn
siin	siin
nemad	nad
e	e
e	e
maantee	maandid
e	e
kraav	`raabi
tegema	tegid
siis	siis
nemad	nad
ju	jo
lõhkuma	`lõhkusid
ikka	ekke
ju	ju
nemad	nad
siis	siis
see	selle
see	selle
kapp	kappaga
ei	ei
saama	saand
e	e
seal	seal
mitu	`metmes
koht	`kohtas
e	e
e	e
see	selle
e	e
see	nende
jälle	jälle
e	e
lõhk+aine	lõhk+ainettega
nemad	nad
ei	ei
saama	saand
muidu	mudu
kraav	`raabi
sisse	`sisse
ju	jo
siis	s
paas	paas
ikka	`ikke
nii+palju	nii+baelu
kõrge	`kõrge
siis	s
olema	oli
siit	siit
teine+pool	teinep+pol
meie	mäde
see	si
sepp	seppa
pagu	pago
siin	sii
lõhkuma	`lõhksid
ja	ja
ja	ja
siit	siit
teine+pool	teinep+pol
ka	koa
üks	öhes
koht	kohas
lõhkuma	`lõhksid
aga	aga
mujalt	mujalt
saama	said
ikka	ekke
muidu	mud'u
jah	jahh
see	sii
olema	onn
jah	jahh
ikka	ekka
üle+pea	üle+bia
üldse	`ültse
siuke	`siukke
pae+pealne	pae+`bealne
maa	maa
ikka	ekke
Ura	Ura
küla	külas
olema	onn
üksi	üksi
hea	ead
maa	maad
seal	seal
olema	onn
siuke	`siukke
sügav	sügav
mulla+maa	mulla+maa
rohkem	`rohkem
ja	jaa
e	e
e	e
Ura	Ura
vana	vanas
aeg	aeal
Ura	Ura
põllu+mees	põllu+mehed
olema	olid
meie	mede
isa	isa
ikka	`ikke
rääkima	`rääkkis
oder	oder
e	e
mitu	mittu
seeme	seemet
see	see
oder	oder
ikka	`ikke
välja	`väl'la
andma	annab
Ura	Ora
mees	meestel
aga	aga
Tamme	Tamme
mees	meestel
ei	ei
andma	and
nii+palju	ni+baelu
aga	aga
Ura	Ora
mees	meestel
olema	oli
jah	jahh
ikka	ikke
vili	vili
andma	`an'diss
palju	paelu
välja	`väl'la
ja	ja
olema	olid
jõukas	`jõukkad
talu	talud
ka	koa
ennem	ennem
ju	juu
vili	vil'ja
müümine	`müümine
olema	oli
see	se
raha	raha
sisse+tulek	`sisse+dulek
ega	ega
piima+viimine	piima+`viimist
olema	põlnd
koorem	`koormad
peale	`peale
ja	ja
ja	ja
Pärnu	`Pärnu
poole	`poole
e	e
siit	siit
murdma	`murtti
siin	sii
meie	mede
juures	juures
põld	põllal
siin	sii
ennem	ennem
kui	kui
see	se
mets	mets
tulema	tuleb
seal	seal
üks	üks
Uru	Uru
talu	talu
olema	oli
e	e
seal	seal
olema	oo
suur	suur
paas	pae
auk	auk
sealt	sealt
murdma	`murtti
paas	`paadi
ja	ja
Kurese	Kurese
e	e
paas	pae
auk	augult
tooma	`toodi
ka	kua
seal	seal
olema	oo
Kurese	Kurese
küla	küla
alt	alt
see	se
olema	oo
sealt	sealt
Mihkli	`Mihkli
kirik	kirikku
poolt	polt
e	e
noh	noohh
pere+mees	pere+med
ise	isi
murdma	`murtsid
pere+mees	pere+med
ise	isi
murdma	`murtsid
noh	noohh
kang	`kangidega
murdma	`murtsid
ja	ja
mina	mina
teadma	tea
ka	koa
mitte	`mette
e	e
Oro	Oro
pere+mees	pere+mes
see	sii
vana	vana
pere+mees	pere+mes
ja	ja
siis	siis
poeg	poeg
hakkama	`akkas
e	e
pidama	pidama
isa	isa
ütlema	`ütles
mis	miss
Juri	Juril
viga	viga
e	e
koht	`kohta
pidama	pidama
hakkama	akkatta
põld	`põldudel
kõik	kõik
aed	aead
ees	ees
aga	aga
isa	isa
tõstma	`tõs'tis
see	ned
kivi	kivid
kõik	kõik
oma	oma
rind	rinnaga
maa+pind	maa+binnast
välja	`väl'ja
kui	kui
isa	isa
hakkama	`akkas
koht	`kohta
pidama	pidama
e	e
ei	eij
olema	olnd
aed	`aedu
ei	ei
olema	ole
ikka	`ikke
olema	onn
e	e
paas	pae
auk	august
murdma	`murttud
põld	põllu
pealt	pealt
kivi	kiba
saama	sai
ka	koa
murdma	murda
ja	ja
meie	meil
olema	oli
ka	koa
seal	seal
aed	aea
ääres	ääres
kus	kuss
nüüd	nüüd
see	ned
kuusk	kuused
olema	oo
seal	seal
olema	oo
suur	sur
prügi	prügi
hunnik	unikkas
seal	seal
olema	oli
suur	suur
põld	põllu
pealt	pealt
noppima	noppittud
kivi	kibide
hunnik	unikkas
ka	koa
no	no
see	ned
ajama	aeasin
nüüd	nüüd
kõik	kõik
nemad	nad
üks	`ühte
sinna	`senna
e	e
põld	põllu
pealt	pealt
saama	sai
ka	koa
ikka	kke
kivi	kiba
noppima	`noppida
aga	aga
no	no
see	need
olema	olid
pisike	pisiksed
ega	ega
see	nendest
aed	`aeda
ei	ei
saama	saand
jah	jahh
ja	ja
mõni	mõled
olema	onn
mõni	mõned
olema	on
habras	`aprad
jälle	jälle
lagunema	laguvad
ära	ära
selline	seoksed
väike	`väiksed
e	e
e	e
kiil	kiilud
tulema	tulevad
lahti	`lahti
ja	ja
aga	aga
mõni	mõned
olema	onn
tugev	tugevad
ja	ja
siis	siss
mõni	mõnes
paas	pae
auk	`aukkudes
olema	oli
parem	parem
kivi	kivi
kui	kui
mõni	mõnedes
olema	oli
h	h
jah	jahh
noh	nohh
parem	paremad
olema	olid
tugevam	tugevamad
nemad	naad
olema	olid
kõik	kõik
ühes	ühess
sedasi	sedasi
ja	ja
selline	`sioksed
olema	olid
tugev	tugevad
olema	olid
nn	nn
mina	maa
ei	i
teadma	tea
ei	eij
olema	olnd
vist	vist
keski	kedagi
meie	mede
Jaan	Jaani
või	või
mina	minu
mees	mehe
isa	isa
tegema	tegi
siis	s
Õepa	`Õeppa
aru	arus
seal	seal
olema	o
e	e
e	e
see	se
see	selle
Aro	Aro
karja+maa	karja+mad
see	need
olema	olid
kangesti	`kangeste
pae+pealne	pae+`bealtsed
käima	käis
seal	seal
murdma	`murdmas
siit	siit
see	need
meie	mede
kivi	kivid
mis	mis
siin	sii
kivi	kibidest
aed	aead
või	või
see	ned
müür	müürid
olema	oo
tegema	`tehtud
see	need
olema	o
kõik	kõik
sealt	sealt
Õepa	`Õeppa
paas	pae
auk	august
murdma	`murttud
meie	meil
ei	eij
olema	olnd
siin	siin
siuke	`siukkest
paas	pae
auk	`aukku
nn	nn
ei	ei
noh	nohh
ju	ju
üksi	üksi
saama	saab
ka	koa
kui	kuij
olema	o
mõni	mõned
suur	suured
kivi	kibid
ju	jo
see	ned
siis	sis
ehk	ehk
mõni	mõni
teine	teine
tulema	tuleb
aitama	`aittab
ka	koa
aga	aga
ee	ee
see	ned
üksi	üksi
murdma	`murtsid
ja	ja
Kurese	Kurese
paas	pae
auk	aogud
sealt	sealt
ju	ju
müüma	`müüdi
kivi	kiba
Võhma	`Võhma
inimene	inimesed
viima	viisid
sealt	sealt
ja	ja
üle	üle
soo	soo
ja	ja
seal	seal
mees	mehed
teenima	`teenisid
raha	raha
päris	päris
see	selle
kivi+murdmine	kibi+`murdmisega
mina	mina
ei	ei
teadma	tea
ka	koa
ju	joo
kang	kangiga
kuidagi	kudagi
virutama	viruttatti
kang	kangiga
katki	`kat'ti
ja	ja
siis	s
mõni	mõni
kivi	kibi
tulema	tuli
suurem	suurem
mõni	mõni
väiksem	`väiksem
ja	ja
mina	mina
ei	eij
olema	ole
ka	ka
nägema	näind
see	seda
kivi+murdmine	kivi+`murdmist
ühti	`ühti
kohe	kohe
jah	jahh
see	need
olema	olid
ju	ju
suur	suured
suur	suured
kivi	kibid
noh	noh
siis	sis
ju	ju
siis	siis
katsuma	katsutti
ilusti	ilusti
e	e
raiuma	`raijuda
et	et
kivi	kibi
katki	`kat'ki
ei	ei
minema	lähe
et	et
et	et
kivi	kibi
suurem	suurem
ja	ja
ilusam	ilusam
tulema	tuleb
olema	onn
mina	mul
olema	on
päris	päris
üles	üless
kirjutama	kirjuttud
see	se
e	e
siin	siin
meie	mede
põld	`põldude
ots	`otses
siin	siin
olema	onn
e	e
üks	üks
e	e
maa+tükk	maa+dükk
see	see
kevad	kebadi
olema	onn
siin	sii
e	e
iga	iga
aasta	`aasta
nüüd	nüüd
vist	vist
ei	eij
olema	ole
nüüd	nüüd
olema	onn
juba	juba
kraav	raabid
tegema	`tehtud
e	e
kevad	kevadi
olema	onn
seal	seal
nii	nii
suur	suur
vesi	vesi
et	et
võima	võib
parv+ki	`parvegagi
sõitma	`sõitta
poisike	poisikkesed
sõitma	`sõitsid
parv	`parvedega
aga	aga
siis	siss
ja	ja
kurg	`kur'ga
ja	ja
part	`par'tta
olema	on
palju	paelu
kevadine	kebadisel
aeg	aeal
siin	sii
lendama	`lendamas
nii	niij
et	et
nemad	nändel
olema	on
kevadine	kebadisel
aeg	aeal
hea	ea
suplemine	`suplemise
koht	koht
siin	sii
ja	ja
jahi+mees	jahi+mehed
käima	käisid
ka	kaa
siin	siin
ja	ja
aga	aga
siis	siis
see	selle
e	e
seal	seal
Oro	Oro
talu	talu
juures	juures
siit	siit
seal	seal
mets	metsa
pool	pool
e	e
e	e
seal	seal
olema	oli
suur	suur
neel	neelu
auk	auk
see	see
tõmbama	tõmmas
vesi	vee
varsti	`varssi
alla	`alla
ja	ja
nii	nii
et	et
jaani+päev	jaani+bäevas
olema	oli
vesi	vesi
minema	läind
võima	võis
hein	`eina
tegema	teha
ja	ja
loom	`loomi
karjatama	karjattada
aga	aga
kui	kui
vesi	vesi
olema	oli
e	e
siis	siss
olema	oli
mina	ma
siia	`siija
tulema	tulin
vat	vat
see	see
olema	oo
siin	sii
mööda	mööda
põld	`põldude
ots	ots
see	se
maa	maa
õhtune	`õhtustel
aeg	`aegadel
olema	oli
konn	`kondade
laul	laul
kohe	kohe
tugev	tugev
ja	ja
konn	`kondade
laul	`lauludel
olema	oli
sõna	sõnad
ka	koa
vaak	vaak
va	va
vakk	vakk
vaak	vaak
va	va
vakk	vakk
meie	mee
kuningas	kuuningas
olema	on
kure+nokk	kure+nokk
see	se
oskama	`oskab
meie	meid
ju	ju
kaitsema	`kaitseda
ja	ja
palk	palgaks
mõni	`mõnda
maitsema	`maitseda
vaatama	vatta
kurg	kured
sööma	sööbad
e	e
konn	`kondi
aga	aga
nüüd	nüüd
olema	onn
see	see
vesi	vesi
juba	juba
suuremalt	suuremalt
jaolt	jaolt
ära	ära
kaduma	kadund
mina	maa
küsima	küsisin
siin	sii
mõni	mõne
käest	käest
ka	koa
et	et
teadma	tia
kas	kas
siin	sii
tänavu	tänabi
kevad	kebadi
ka	koa
vesi	vett
olema	oli
vaatama	vatta
nüüd	nüüd
olema	on
see	neid
kraav	`raabisi
juba	juba
palju	paelo
tegema	`tehtud
ja	ja
see	se
kaevama	kaeband
mis	miss
Hõbeda	Õbedast
minema	läheb
see	see
olema	o
ära	ära
ju	ju
puhastama	puhastud
ja	ja
aga	aga
ennem	ennem
olema	oli
suur	suur
vee+kogu	vee+gogu
siin	sii
tulema	tuli
juba	juba
järge+mööda	järg+mööda
põld	`põldu
peale	`peale
ikka	`ekke
ots	otsad
aga	aga
muu	muud
siuke	siukst
vee+kogu	vee+gogu
siin	sii
ei	eij
olema	olnd
raba	raba
olema	onn
ka	ko
siin	sii
äär	`ääres
aga	aga
see	see
noh	nohh
siuke	`siukke
sambla+raba	`samla+raba
olema	onn
aga	aga
just	jus't
no+jah	no+jahh
praegune	`praegusel
aeg	aeal
olema	oli
seal	seal
palju	paelu
käbal	käbalaid
punane	punane
maa	maa
olema	oli
üsna	üsna
ja	jaa
hommikuti	omigutti
nagu	nagu
püha+päeviti	püha+batti
hommikuti	omigutti
ja	ja
ee	ee
siis	siss
olema	oli
noor	`noori
inimene	inimesi
üks	üks
salk	salk
olema	oli
üks	ühes
koht	kottas
nägema	`nähti
valge	`valged
kott	kottid
kaenal	`kaenlas
olema	olevat
teine	teist
teine	teis
koht	kottas
aga	aga
ennem	ennem
olema	oli
selle+pärast	selle+bärast
käbal	käbalaid
et	et
talu+taat	talu+daadid
põletama	põlettasid
raba	raba
siis	siis
kui	kui
e	e
maa	maa
külmetama	külmettand
raba	raba
külmetama	külmettand
olema	oli
siis	siss
põlema	põles
see	se
porss	pors
ja	ja
porss	ports
kõik	kõik
ära	ära
ja	ja
teine	teise
aasta	`aastal
olema	oli
punane	punane
kõik	kõik
käbal	käbalad
ja	ja
mitu	mettu
aasta	`aastad
see	selle
järel	järel
olema	olid
käbal	käbalad
aga	aga
nüüd	nüüd
enam	änam
mina	ma
ei	i
teadma	tea
nüüd	nüüd
ei	eij
olema	ole
see	ned
raba	rabas
palju	paelu
käima	käind
aga	aga
ütlema	`ütlevad
ei	ei
olema	`olle
vaatama	vaatta
raba	raba
olema	onn
väga	väga
kail	kal'jut
ja	ja
porss	`porsu
ja	ja
kõik	`kõikki
täis	täis
minema	läind
aga	aga
ennem	ennem
talu+taat	talu+daadid
põletama	põlettasid
selle+pärast	selle+bärast
et	et
loom	loomad
kergem	`kergemad
loom	loomad
käima	käisid
ju	ju
raba	rabas
mullikas	mul'likkad
ja	ja
pull	pul'lid
ja	ja
kui	kui
mina	maa
karjane	karjane
olema	olin
iga	ega
hommik	omigu
saama	sai
üles	ülesse
raba	rabale
loom	loomad
ajama	aeada
seal	seal
olema	oli
e	e
hea	ea
jahe	jahe
nemad	nändel
olema	`olla
ja	jaa
aga	aga
siis	siss
e	e
hommik	omigu
tulema	tuli
ajama	aeada
ja	ja
raba+sammal	raba+sammal
olema	oli
märg	märg
ja	ja
rohi	rohi
olema	oli
märg	märg
jala+säär	jala+sääred
minema	läksid
nii	nii
katki	`kat'ki
ja	jaa
tuul	tuul
lõhkuma	`lõhkus
ära	ära
eh	eh
tädi	tädi
ikka	`ikka
määrima	`määris
see	neid
e	e
vahel	vahel
hapu+koor	appo+goorega
ja	ja
ennem	ennem
ei	eij
olema	olnd
ju	jo
säärik	säärikkuid
aga	aga
iga	iga
hommik	omikku
saama	said
pull	pul'lid
ja	ja
mullikas	mul'likkad
saama	said
üles	ülesse
raba	rabale
ajama	ajada
siis	s
pärast	pärast
lõuna	lõõnat
tulema	tulid
alla	`alla
nemad	nad
magama	magasid
seal	seal
ja	ja
e	e
e	e
tema	taa
kõrgem	`kõrgem
ei	eij
olema	ole
aga	aga
noh	nohh
saama	sai
ikka	`ikka
ütlema	üttelda
üles	ülesse
raba	rabale
ja	ja
üks+kord	üks+kord
minema	läksime
heh	heh
o	o
minema	läksime
jälle	`jälle
käbal	käbalule
sinna	`senna
üles	ülese
laps	lapsed
olema	olime
jah	jahh
ja	ja
e	e
e	e
sealt	sealt
mina	minu
kodu+koda	kodu+gojast
või	või
siit	siit
siit	siit
hommik	omigu
pool	pol
see	se
mina	minu
kodu	kodu
olema	onn
seal	seal
sealt	sealt
pere	pere
küla	külani
pidama	pidi
kolm	kolm
kilo+meeter	kilu+`meettert
olema	olema
see	seda
raba	raba
maa	maad
ja	ja
e	e
e	e
pere	pere
otsa+aken	otsa+`aknad
ennem	ennem
ei	eij
olema	olnd
mets	`metsa
e	e
otsa+aken	otsa+`aknad
kui	kui
päev	päe
looja	`looja
minema	läks
läikima	`läikkisid
ka	koa
siia	`siija
mägi	mäe
peale	`peale
jah	jahh
ja	ja
üks+kord	üks+kord
minema	läksime
käbal	käbalule
ja	jaa
mesilane	mesilase
pere	pere
tulema	tuli
sealt	sealt
päris	päris
madalalt	madalalt
tulema	tuli
e	e
e	e
lendama	lennattes
ja	ja
otse	otse
meie	meitte
koht	`kohta
meie	meije
istuma	`istusime
maha	maha
et	et
kuulama	kuulatta
mesilane	mesilase
ema	ema
hääl	äält
ema	ema
kutsuma	`kutsus
ikka	ikke
jauu	jauu
jauu	jauu
jauu	jauu
ikka	ekke
kutsuma	`kutsus
see	neid
ja	ja
tulema	tulime
siis	siis
koju	kojo
e	e
e	e
oma	oma
koju	kojo
sinna	`sinne
mina	muu
isa	isa
pidama	pidas
ka	koa
palju	paelu
mesilane	mesilasi
tulema	tulime
koju	kojo
isa	isa
ütlema	`ütleb
et	et
üks	üha
puu	`puusse
olema	`olla
pere	pere
tulema	tulnd
ju	jo
tema	ta
siis	siis
üle	üle
raba	raba
tulema	tuli
jah	jahh
olema	oli
jah	jahh
olema	oli
hüüdma	`öötsime
raba	raba
laugas	laud
aga	aga
mina	mena
sinna	`sinna
laugas	`laugude
äärde	`ääre
ei	ei
saama	saand
seal	seal
pidama	pidi
vesi+lill	vesi+`lillisi
olema	olema
ja	ja
e	e
mina	mena
ei	ei
saama	saand
sinna	`sinna
aga	aga
mina	mul
vend	vennad
ikka	ekke
käima	köisid
nemad	naad
olema	olid
nagu	nagu
poiss	poisid
ja	ja
nemad	need
ikka	ikke
käima	köisid
seal	seal
meie	meit
ei	ei
lubama	lubattud
ei	ei
lubama	lubattud
minema	`menna
sest	sest
et	et
see	se
laugas	lau
kallas	kallas
pidama	pidi
alt	alt
e	e
e	e
jälle	jälle
siuke	`siukke
tühi	tühi
olema	olema
vesi	veest
uhtuma	uhjuttud
noh	noh
hakkama	akkad
sealt	sealt
e	e
jälle	jälle
vesi+lill	vesi+`lille
võtma	`võtma
võima	võid
kõik	kõige
kallas	`kaldaga
sisse	`sisse
minema	`menna
eh	eh
no	no
mina	ma
ei	i
teadma	tia
vaatama	vaatta
mina	maa
tegema	tegin
üks	ühe
üks	üks
mina	mul
üks	üks
laul	laul
siin	sii
vesi+lill	vesi+lillest
päris	päris
jälle	jälle
ikka	ekka
valge	`valge
olema	onn
e	e
ütlema	`ütlesime
ikka	`ikke
et	et
vesi	vee
vee+lill	vee+lill
või	või
ja	ja
see	se
olema	onn
ootama	ootta
mina	ma
looma	loo
siia	siija
üks	üks
pots	pot's
päris	päris
päris	päris
jah	jah
jälle	jälle
e	e
nemad	need
olema	olid
harjuma	`arjund
loom	loomad
nemad	nad
olema	olid
maoli	`maoli
muda	moja
seest	seest
aga	aga
läbi	läbi
rupjama	`rupjasid
aga	aga
siis	sis
rääkima	`rääksid
seal	seal
Õepa	`Õeppa
küla	külas
et	et
üks	üks
pull	pul'l
olema	`olle
üks+kord	ühe+gorra
ka	koa
jääma	jäänd
raba	rabasse
aga	aga
siin	sii
ei	ei
olema	olnd
kuulma	kuulda
ja	ja
kraav	`raabidest
e	e
tulema	tulid
ja	ja
ja	ja
õhtu	`õhtast
poolt	poolt
pidama	pidime
ikka	`ikke
kari	`karja
minema	menema
sest	sest
ajama	aeasid
sealt	sealt
kraav	`raabidest
üle	üle
ja	ja
minema	läksid
paha	paha
peale	`peale
aga	aga
päev	päeba
läbi	läbi
olema	olid
seal	seal
ülal	ülal
siis	siis
olema	oli
ikka	`ikka
mure	muretta
nemad	neist
jah	jahh
seal	seal
vaatama	vatta
põlema	põlend
maa	maa
peal	peal
seal	seal
kasvama	kasus
ka	koa
hästi	`easti
ja	ja
siis	sis
raba	rabas
olema	on
praegu	`praeguste
veel	vel
alles	alles
nisuke	nisuksed
e	e
nisuke	nisukke
rohi	rohi
ütlema	`öessi
puik	puik
puik	puegud
e	e
seuke	`seukke
pikk	pikk
peenike	peenikke
rohi	rohi
nagu	nagu
suka+varras	sukka+varras
ja	jaa
villane	villane
e	e
e	e
siuke	`siukke
villane	villane
nagu	nagu
poom+vill	poom+villa
tuts	`tutsu
otsas	`otsas
ja	ja
kui	kui
sina	sa
siis	siis
see	selle
poom+vill	poom+vella
ots	otsa
üles	üless
tõmbama	`tõmmad
siis	siis
tulema	tuleb
see	see
peenike	peenikke
pooleks	poolesse
ja	ja
seal	seal
all	all
e	e
seal	seal
ots	otsa
all	all
olema	onn
magus	magus
meie	mee
laps	lapsed
tõmbama	`tõmmasime
ikka	ekke
üles	ülesse
ja	ja
sööma	söime
seal	seal
olema	oli
magus	magus
aga	aga
mesilane	mesilane
sealt	sealt
kätte	`kätte
ei	ei
saama	saa
sest	sest
see	see
olema	onn
sees	sehes
aga	aga
loom	loomad
sööma	söid
see	neid
kangesti	`kangeste
ja	jaa
va	va
lahja	lahjad
loom	loomad
olema	olid
kevad	kebadi
aga	aga
jaani+päev	jaani+bäeva
aeg	`aegas
siis	siss
olema	olid
juba	juba
karv	karvad
libe	libedad
ja	ja
ja	jaa
panema	pani
see	se
ja	jaa
et	et
raba	raba
raba	raba
rohi	rohi
ei	eij
olema	olnd
väga	väga
halb	alb
e	e
mis	mess
e	e
seal	seal
jõhvikas	jõhvikkuid
olema	oli
sügis	sügise
vat	vat
seal	seal
olema	oli
vesine	vesine
maa	maa
jõhvikas	jõhvikkuid
olema	oli
sügis	sügise
aga	aga
see	neid
nii	nii
palju	paelo
ei	eij
olema	olnd
jõhvikas	jõhvikkattel
käima	`köidi
Lavassaare	Lauwas+saare
järv	järbe
ääres	ääres
see	see
olema	oo
seal	seal
Lavassaare	Lauwas+saare
külg	kül'je
ääres	ääres
see	see
olema	oo
Kossi	Kos'si
raba	rabas
aga	aga
Lavassaare	Lauwas+saare
küla	küla
pool	pool
jah	jahh
olema	olen
aga	agaa
mina	maa
siin	sii
oma	oma
raba	rabas
olema	olen
käima	köin
mina	ma
kaugel	`kaugel
ei	ei
olema	ole
käima	köind
e	e
e	e
jõhvikas	jõhvikkattest
nüüd	nüd
teadma	tea
noh	nohh
aga	a
kure+mari	kure+mari
tema	teda
hüüdma	`üütti
e	e
e	e
noh	noh
e	e
siuke	siuksed
pisike	pissed
nõrk	nõrgad
haru	arud
pisike	`piske
valge	`valge
õis	õis
olema	on
ja	ja
ja	jaa
sügis	sügisest
poolt	poolt
minema	lähäb
punane	puna`sesse
ja	ja
ja	ja
hea	ead
hapu	appud
olema	oo
sööma	`süija
e	e
ei	ei
nemad	nad
kasvama	kasvavad
ikka	ikke
