masin	masinad
need	need
õhuke	öhuksed
pood	poe
lina	linad
minema	lähvad
krässi	`kräs'si
aga	äga
need	need
mis	mis
sina	sa
ise	ise
olema	oled
kuduma	kudun
vat	vatt
need	need
olema	on
palju	`pal'lu
paks	paksemad
need	need
seisma	seisavad
nii	nii
sirge	`sirged
all	all
mis	miss
e	e
ise	ise
olema	olen
kuduma	kudun
noh	nohh
eks	eks
e	e
eks	eks
see	sie
enne	ennem
tegema	`tehti
ju	ju
e	e
e	e
vill	villast
rätik	rättikkud
kuduma	kujutti
ju	ju
ka	kaa
kõik	keik
ära	ära
ja	ja
e	e
e	e
lõng	löngad
ja	ja
e	e
värvima	värvitti
ära	ära
ja	ja
ja	ja
tegema	`tehti
mina	mull
seal	sial
õde	öel
kaks	kaks
rätik	rättikkud
olema	oli
mis	mis
tema	ta
ise	ise
kuduma	kudus
veel	veel
suur	suured
rätik	rättikkud
siis	siis
olema	olid
narmas	`narmäd
kõik	keik
ääres	`ääres
mina	mina
ei	ei
olema	ole
küll	küll
rätik	rät'tikkud
ei	ei
olema	ole
kuduma	kudund
aga	aga
kalev	kalevi
kangas	`kangad
mis	miss
mees	meestel
ülikond	üligonnad
tegema	`tehti
siis	siis
uhtuma	uhutti
ära	ära
ja	ja
e	e
siis	siis
võtma	`võetti
see	sie
karv	karv
ka	kaa
pealt	pialt
siis	sis
olema	olid
ju	ju
kõik	köik
kodune	kodused
riie	`riided
mees	mestel
ega	ega
ega	ega
siis	siis
ostma	ostettud
ülikond	üli`gondasi
olema	pöld
vanasti	vanasti
need	neid
kangas	`kangad
mina	mull
üks	üks
kalev	kalevi
tükk	tükk
olema	on
praegu	`praegust
veel	veel
tuba	tuas
kapp	`kappis
alles	alles
mis	mis
mina	ma
ise	ise
olema	olin
kuduma	kudun
tema	taa
olema	oli
ikka	`ikka
tugev	tugev
riie	riije
ega	ega
see	see
siis	siis
kärisema	kärisend
see	see
nigu	`niiga
kui	ku
tema	ta
kuluma	kulus
ära	ära
tema	taa
olema	oli
ikka	`ikka
paks	paks
ja	ja
soe	soe
see	see
kodus	kodu
kodune	koduse
riie	`riidest
tegema	`tehtud
pärast	pärast
juba	juba
nüüd	nüit
see	se
kui	kuu
Keila	`Keiles
see	se
suur	suur
vabrik	vabrik
tulema	tuli
eks	eks
siis	siiss
saama	sai
vill	villad
sinna	`sinna
siis	siiss
saama	sai
riie	`riided
vahetama	vahettud
kleit	kleidi
riie	`riided
ja	ja
kõik	keik
siis	siis
kui	kui
Keila	`Keiles
juba	juba
see	see
suur	soor
veski	`veski
tulema	tuli
aga	agaa
vanasti	vanasti
ei	ei
olema	oln
kõik	keik
tegema	`tehti
kleit	kleidi
riie	`riided
linane	linased
riie	`riided
saama	said
ka	kaa
värvima	värvittud
ära	ära
ja	ja
kleit	kleidi
riie	`riided
tegema	`tehtud
kirju	`kirjuid
ja	ja
linane	linased
puu+vill	puu+vella
värv	värvid
olema	olid
ja	jaa
ja	ja
siis	siiss
saama	said
ju	ju
sedasi	sedas
lapiline	lappilesi
ja	ja
nii+sugune	niisuksi
tegema	`tehtud
mina	mina
ei	ei
olema	old
küll	küll
kleit	kleidi
riie	riijet
mina	maa
ei	i
olema	old
kuduma	kudun
aga	äga
mina	maa
nägema	nägin
need	neid
olema	oli
palju	`pal'lu
kes	kiss
kuduma	kudusid
oma	omal
suur	sured
kleit	kleidi
riie	`riided
ise	ise
siis	siis
tulema	tulevad
panema	paned
sina	sa
siis	siiss
e	e
e	e
tahtma	tahad
ruuduline	ruudulest
tegema	teha
suur	suure
lapp	lappidest
siis	siiss
tulema	tulid
värviline	värvilesed
lõng	löngad
ja	ja
jälle	`jällä
kuduma	kujutti
ära	ära
lina	linadest
tegema	`tehti
kõik	keik
ei	ei
mina	mina
ei	ei
olema	ole
aga	aga
kivi	kivi
kivi	kivi
mis	miss
kivi	kivide
peal	pial
kasvama	`kasvast
see	selleg
saama	sai
ilusti	ilust
pruun	`pruuni
värv	`värvi
see	sellega
mina	ma
olema	olen
küll	küll
värvima	`värvind
panema	`pan'di
siis	siss
suur	suur
e	e
see	sie
mis	mis
see	se
olema	oli
üks	üks
suur	sur
sinine	sinine
kivi	kivi
see	seda
panema	`pan'di
veel	viel
sisse	`sisse
siis	sis
see	sie
olema	oli
jah	jahh
nii+sugune	nihuk
suur	suur
sinine	sinine
kivi	kivi
mina	ma
teadma	tian
et	ett
see	see
kivi	kivi
sambla+pruun	`samle+pruun
olema	oli
väga	väga
ilus	ilus
pruun	pruun
olema	oli
mina	ma
ise	ise
korjama	`korjäsin
veel	veel
need	neid
kivi	kivide
pealt	pialt
need	neid
sammal	`samleid
ja	ja
siis	siiss
see	sie
minema	läks
ilusti	ilusti
pruun	pruuniks
no	no
eks	eks
tema	ta
seisma	`seisis
tema	taa
olema	oli
tugev	tugev
värv	värv
ikke	`ikke
ega	ega
tema	taa
sedasi	sedasi
pleekima	`pleekkind
kui	ku
need	need
pood	poe
värv	värvid
mina	mina
ei	ei
teadma	tia
põdra+sammal	pödra+`samladest
tegema	`tehti
suur	suur
tee	tied
see	sie
olema	oli
miski	`miski
haigus	`aiguse
vastu	`vastu
mina	maa
kuulma	`kuulsin
see	se
põdra+sambla+tee	pödra+`samle+tie
kas	kass
see	se
kops	kopsude
vastu	`vastu
või	vöi
mis	miss
see	sie
suur	suur
põdra+sambla+tee	pödra+`samle+tie
pidama	pidi
naine	naeste
niine+puu	niine+bu
või	vöi
see	sie
olema	on
nii+sugune	nisuk
kevadel	kevade
tulema	tuleb
varakult	varakkult
suur	sured
lilla	lilla
lilla	lillad
õis	öijed
ja	ja
see	see
meie	meil
panema	`pan'di
juuksed	juuste
sisse	`sisse
et	et
siis	siis
juuksed	`juuksed
pidama	pidid
hästi	`ästi
kasvama	`kasvama
see	se
naine	naeste
niine+puu	niine+bu
koor	kuor
nii+sugune	nisust
roosa	roosad
õis	öijed
see	see
kevadel	kevade
varakult	varakkult
õitsema	`öitseb
see	see
naiste	nas'te
niine+puu	niine+bu
mina	maa
tundma	tunnen
see	seda
naine	naeste
niine+puu	niine+bud
küll	küll
Kase+metsa	Kase+metsal
olema	oli
seal	sial
see	se
naine	naeste
niine+puu	niine+buu
põõsas	põesas
aga	aga
mina	maa
siin	siin
ei	ei
olema	ole
see	seda
nägema	näin
nii+sugune	nisust
lillakas	lillakad
õis	öijed
olema	olid
peen	`piened
õis	öijed
olema	olid
peal	pial
see	se
naine	naeste
niine+puu	niine+buul
see	se
see	sie
olema	oli
jah	jahh
seal	sial
Kase+metsa	Kase+metsal
olema	oli
koppel	`koples
eks	eks
tema	ta
mets	metsa
mets	metsa
puu	puu
ikka	`ikka
olema	ole
see	see
naine	naeste
niine+puu	niine+bu
ja	ja
jah	jahh
tamme+koor	tamme+kuor
see	sie
see	seda
andma	`an'tti
küll	küll
mina	mull
oma	omal
olema	onn
olema	olnd
see	se
tamme+koor	tamme+koore
vesi	vett
et	et
see	see
võtma	`vöttis
kinni	kinni
ja	ja
ja	ja
kui	ku
laps	lastel
kõht	köhud
lahti	`lahti
olema	onn
see	se
tee+leht	tie+lehe
õis	öijed
mis	mis
siin	siin
õu	öuwe
peal	pial
need	need
suur	suurd
lai	laijad
tee+leht	tie+lihed
mina	mina
viima	viisin
väike	`väikse
laps	lapsel
või	vöi
Ülle	Ülle
olema	oli
kõht	köht
olema	oli
haige	`aige
üks	üks
naine	naene
tulema	tuleb
mina	muu
juurde	`juure
Keila	`Keiläs
pood	poe
e	e
juures	juurs
ütlema	`ütleb
teie	tee
viima	viitte
laps	lapse
kõhu+haigus	köhu+`aigusega
viima	viitte
siis	siiss
haige+maja	`haige+maeasse
et	ett
mina	mind
ajama	`aetti
öösel	`öösi
üles	ülesse
et	et
minema	mine
oma	oma
rohi	`rohtu
keetma	`kietma
keetma	`kietsin
ja	ja
mina	maa
hakkama	`akkesin
ka	kaa
siis	siiss
see	seda
suur	suurt
tee+leht	tie+lehe
õis	öije
vesi	vett
enam	enam
laps	laste
kõht	köhud
ei	ei
olema	old
ilmaski	`ilmeski
kui	ku
kõht	köht
väike	`väikse
laps	lapsel
lahti	`lahti
tee+leht	tie+lihe
õis	öit
andma	nd
õis	öije
tee	tied
ja	ja
siis	siis
olema	oli
kohe	kohe
laps	lapse
kõht	köht
kinni	`kinni
ei	ei
mina	mina
leht	lihedest
aga	aga
need	need
siis	siiss
kui	ku
need	need
õitsema	`öitsevad
suur	surd
pikk	pikkad
olema	onn
seal	sial
mis	miss
õu	öuwede
peal	pial
kasvama	`kasva( va )d
see	sie
tee+leht	tie+lehe
õis	öije
vesi	vesi
see	sie
pidama	piab
väga	väga
hea	ia
olema	olem
andma	`anda
eks	eks
vana	vana
inimene	inim
võima	vöib
ka	kaa
kui	ku
kõht	köht
lahti	`lahti
olema	on
see	sellest
tee+leht	tie+lihe
õis	öije
õis	öijedest
keetma	`kietti
siis	siis
tee	tied
mina	mull
vist	vist
praegu	`praegu
olema	onn
seal	sial
mina	maa
teadma	tian
üks+kord	üks+kord
Põlde	`Pölde
Viive	Viive
käima	käis
mina	mu
käest	kääst
see	seda
tee+leht	tie+lihe
õis	`öisa
saama	`saames
et	ett
plika	plikkal
pidama	pidi
kõht	köht
lahti	`lahti
olema	olem
siis	siis
ütlema	`ütles
et	ett
ei	ei
mina	mina
olema	pöle
ja	ja
see	sie
pidama	pidi
kui	ku
pidama	pidi
oksendama	oksendama
ehk	ehk
siis	siiss
pidama	pidi
see	selle
vastu	`vastu
ka	kaa
olema	olem
kui	kui
vat	vatt
kõht	köht
lahti	`lahti
hakkama	`akkavad
oksendama	oksendama
ka	kaa
et	ett
ikka	`ikka
et	ett
siis	siis
tema	teda
olema	oli
üles	ülesse
ajama	`aettud
kohe	kohe
et	ett
minema	mine
aga	aga
rohi	`rohtu
keetma	`kietmä
ja	ja
ega	ega
mina	mina
siis	siiss
see	sellest
saadik	saadik
mina	maa
kuulma	`kuulsin
hakkama	`akkesim
seal	sial
pood	poe
aken	`akne
peal	pial
rääkima	`rääkkim
tema	tema
ütlema	`ütles
sina	saa
viima	viid
oma	oma
teie	tee
viima	viitte
oma	oma
laps	lapse
selle+pärast	selle+pärast
kui	ku
kõht	köht
lahti	`lahti
olema	on
ja	ja
vat	vatt
see	sie
tee	tie
olema	on
hea	ia
ja	ja
see	sellest
saadik	saadik
mina	ma
siis	siis
ütlema	`ütlesin
õde	`õele
ja	ja
ja	ja
nüüd	nüid
õde	öde
ütlema	`ütles
veel	veel
oma	oma
oma	omade
tütar	`tütrele
ütlema	`ütles
kui	ku
laps	lastel
olema	onn
kõht	köhu
kõht	köhu
lahti	`lahti
olemine	olemene
et	et
keetma	keeda
aga	aga
see	seda
tee	tied
ja	ja
siis	siiss
kohe	kohe
suvi	suvel
tema	ta
tulema	tuleb
ära	ära
kuivatama	kuivattada
ega	ega
päike	`päikse
käes	kääs
see	sie
pidama	piab
vilu	vilus
kuivatama	kuivattam
päike	`päiksi
käes	kääs
ei	ei
võima	vöi
need	neid
arsti+rohi	arsti+`rohtusi
kuivatama	kuivattada
siis	siis
ei	ei
pidama	pia
hea	ia
olema	olem
no	no
see	sie
see	sie
olema	onn
palavik	palavikku
vastu	`vastu
see	sie
pärna+õie+tee	pärna+öije+tie
hüüdma	`üittäkse
see	sie
väga	väga
hea	ia
see	see
see	seda
võima	vöib
ja	ja
kangesti	`kangesti
ilus	ilus
punane	punane
ka	kaa
mina	ma
ei	ei
teadma	tia
need	need
pärn	pärnad
olema	on
juba	juba
õitsema	`öitsen
vist	vist
ei	ei
teadma	tia
Kopli+tagune	`Kople+dagusel
olema	on
ka	kaa
seal	sial
värav	värav
taga	taga
ei	ei
mina	mina
olema	pöle
vaatama	vaadan
millal	millal
need	need
õie+nupp	öije+`nuppud
kas	kass
need	need
olema	on
õitsema	`öitsend
juba	juba
või	vöe
ei	ei
mina	ma
ei	ei
teadma	tia
aga	aga
see	sie
pärna+õie+tee	pärna+öije+tie
pidama	piab
e	e
olema	olemä
väga	väga
hea	ia
tarvitama	tarvittada
see	sell
hea	ia
maitse	maetse
ka	kaa
sees	sies
see	sell
pärna+õie+tee	pärna+öije+tiel
nojah	nojahh
mina	maa
vaatama	`vaatsin
Tõnu	Tönu
Tõnu	Tönu
Vilve	Vilve
võtma	`vöttis
talvel	`talve
siit	siit
tooma	töi
need	neid
vaarikas	vaarikka
keetma	`kiettis
vaarikas	vaarikka
vars	varredäst
tee	tied
nii	nii
punane	punaseks
minema	läks
ja	ja
tegema	tegi
viima	viis
viima	viis
veel	veel
sinna	`sinna
Saue	Sauwele
kui	kui
tema	ta
seal	sial
olema	oli
jah	jahh
ega	ega
hea	ea
üsna	üsna
hea	ea
maitse	maetse
sees	sies
tema	tall
see	see
mina	mina
olema	olen
liiv	liiva
e	e
tee	tied
need	need
mis	miss
liiv	liiva
peal	pial
need	need
lilla	lillad
õis	öijed
vaatama	vattä
see	sie
tee	tie
olema	onn
ka	kaa
pidama	piab
olema	olema
haigus	`aiguste
vastu	`vastu
see	se
liiva+õis	liiva+öije
tee	tie
ja	ja
ja	ja
nurme+nukk	nurme+nukkud
ja	ja
et	et
need	neid
kuivatama	kuivattäkse
noh	noh
need	need
olema	on
ju	ju
kevadel	kevade
varakult	varakkult
need	need
nurme+nukk	nurme+nukkud
noh	nohh
liiv	liivade
peal	pial
siin	siin
kui	ku
meie	me
minema	lähme
siit	siit
liiv	liivade
juurde	`juure
vat	vatt
seal	sial
nüüd	nüid
kus	kus
see	se
põld	pöld
olema	onn
seal	sial
olema	oli
nii	nii
et	ett
olema	oli
lilla	lilla
aga	aga
nüüd	nüid
olema	on
üles	üles
kündma	`kün'ttud
ega	ega
nemad	nad
nüüd	nüid
enam	änam
seal	sial
ei	ei
kasvama	kasva
aga	aga
mina	maa
vaatama	`vaattan
siin	siin
kraavi+kallas	kraavi+kallad
mis	miss
siin	siin
silo+auk	silu+augu
juures	juurs
olema	onn
siin	siin
kraavi+kallas	kraavi+kallastes
olema	on
ka	kaa
veel	veel
äär	äärede
peal	pial
mina	ma
vaatama	`vaattan
tõusma	töusevad
nii+sugune	niisust
suur	suured
tups	tupsud
üles	ülesse
sinine	sinised
lilla	lillad
õis	öijed
sealt	sialt
õis	`öisa
noppima	`noppisin
sealt	sialt
sõrm	sörmedega
sealt	sialt
pealt	pialt
ja	ja
hea	ia
maitse	maetse
ka	kaa
see	sell
see	selle
liiv	liiva
tee	tiel
sees	sies
ei	ei
mina	mina
mina	mina
ei	ei
olema	ole
see	seda
kase+leht	kase+leht
see	sie
pidama	piab
ka	kaa
mingi	`mingi
haigus	`aiguse
vastu	`vastu
olema	olem
esiteks	esittiks
kui	ku
need	ned
pung	pungast
pidama	`piavad
lahti	`lahti
minema	minem
mh	mh
kaasa+vara	kaasa+varaks
noh	nohh
eks	eks
see	sie
olema	oli
ka	kaa
see	see
suur	suur
varandus	varandus
mis	mis
tema	ta
sinna	`sinna
pruut	pruudi
koju	kodu
suur	suur
kohver	`kohver
panema	`pan'di
täis	täis
mina	maa
teadma	tian
kui	ku
mina	minu
vend	viend
Kurkse	`Kurksest
naine	naese
võtma	`vöttis
siis	siis
panema	`pan'di
kohver	kohvär
sinna	`sinna
hobune	obuse
peale	pial
ja	ja
ja	jaa
see	see
pruut	pruudi
isa	isa
ema	ema
olema	olid
seal	sial
kõrvas	`körvass
see	sie
olema	oli
see	see
suur	suur
kaasa+vara	kaasa+vara
mis	miss
sinna	`sinna
sisse	`sisse
siis	siss
olema	olid
olema	olid
need	ned
tekk	tekkid
ja	ja
padi	padjad
ja	ja
mis	mis
tema	ta
riie	`riided
olema	olid
ega	ega
enne	ennem
olema	pöld
siis	siis
need	neid
surema	suri
nii+sugune	nisukst
peen	`peened
asi	`as'su
nagu	nagu
nüüd	nüid
iga+üks	iga+öhöl
olema	oli
kohver	`kohvär
siin	siin
mina	minu
ämm	ämmal
see	selle
mees	mihe
ema	emal
see	sellel
olema	oli
Jaan	Jaanil
tema	tall
praegu	`präägust
kah	kahh
kaks	kaks
kohver	`kohvärt
seal	sial
Jaan	Jaani
ait	`aittes
ja	ja
mina	ma
ei	i
teadma	tia
siin	siin
Tõnu	Tönul
olema	on
ka	kaa
üks	üks
vana	vana
kohver	`kohver
olema	on
siin	siin
e	e
veel	viel
eks	eks
see	sie
olema	ole
siit	siit
vana	vana
inimene	inimistest
jääma	jäänd
siia	`siijä
sisse	`sisse
suur	suur
kindel	kindel
olema	oli
ja	ja
suur	suur
ümmargune	ümmargune
kaas	kaan
olema	oli
nupp	nupp
olema	oli
peal	pial
ja	ja
need	need
enne	ennem
vanasti	vanaste
olema	olit
need	need
suur	sured
kohver	`kohvred
nojah	nojahh
ikka	`ikka
olema	oli
värvima	värvittud
suur	suur
pruun	pruuni
värv	värviga
olema	oli
kõik	keik
värvima	värvittud
ja	ja
nii+sugune	nihukke
ümmargune	ümmargune
kumerik	kumerik
kaas	kaan
olema	oli
ja	ja
olema	pöld
seal	sial
sahtel	`sahtled
see	sie
panema	`pan'di
hunnik	unikkudes
sinna	`sinna
sisse	`sisse
laduma	`laotti
sinna	`sinnä
sisse	`sisse
ja	ja
siis	siis
viima	`viidi
see	seda
see	see
suur	suur
kohver	`kohvär
olema	oli
mina	mina
ei	ei
teadma	tia
oma	oma
vend	venna
naine	naesel
et	ett
tema	temal
riie	riijette
kapp	kappid
olema	oleks
olema	oln
mina	maa
see	seda
ei	ei
teadma	tia
ja	ja
no	no
enne	ennem
ikka	`ikka
riie	riijette
kapp	kappid
olema	oli
aga	aga
mina	mina
oma	oma
vend	venna
naine	naesel
Kurkse	`Kurkse
Pela	Pelalt
tema	ta
võtma	`vöttis
naine	naese
oma	omal
mis	mis
ei	ei
olema	old
see	sie
puhta	`puhta
eestlane	`iestläsed
olema	olid
need	need
Kurkse	`Kurkse
Kurkse	`Kurkse
e	e
elanik	elanikkud
Meeri	Meeri
nüüd	nüid
surema	`surnud
ja	ja
jah	jahh
eks	eks
see	se
Meeri	Meeriga
käima	käis
seal	sial
Odi	Odi
vahet	vahet
eks	eks
tema	ta
sedasi	sedasi
kartma	`karttis
ka	kaa
et	et
viima	viijakse
tema	teda
ka	kaa
ära	ära
kaua	kauwa
see	se
Juulius	Juulus
olema	oli
seal	sial
Vene+maa	Vene+maal
tema	taa
ehitama	ehittas
see	selle
suur	sure
maja	maja
sinna	`sinna
suur	sure
Keila	`Keiläs
siis	siis
andma	`an'tti
tema	tal
oma	omal
ka	kaa
korter	`kortter
ja	ja
eks	eks
tema	ta
siis	siis
ehitus	ehittuse
peal	pial
olema	oli
Juulius	Juulus
surema	suri
ju	ju
ka	kaa
noor	noorelt
ära	ää
tema	taa
olema	oli
ju	ju
siin	siin
Riideku	Riidekkul
siis	siis
võtma	`vöttis
kui	kui
tema	ta
see	se
Meeri	Meeri
võtma	`vöttis
Riideku	Riidekku
Meeri	Meeri
see	sie
ema	ema
olema	oli
vist	vist
kaks+teist	kaks+teist
aasta	`aastad
halvama	alvattud
ja	ja
Meeri	Meeri
aitama	`aittes
tema	teda
ja	ja
tõstma	`töstis
üks	üks
tuba	tuba
olema	oli
kõik	keik
üks	üks
tool	tuol
olema	oli
kus	kus
tema	ta
kõik	keik
oma	oma
asi	as'sad
tegema	tegi
küll	küll
olema	on
ikka	`ikka
raske	`raske
kes	kiss
ära	ära
halvama	alvattakse
jah	jaahh
ega	ega
see	seda
ei	ei
teadma	tia
kuidas	kudas
keegi	kelegi
elu	elu
võima	vöib
olema	`olla
ja	ja
kui	kui
aitaja	`aittajäd
ka	kaa
ei	ei
olema	jole
tema	ta
ütlema	`ütles
mina	ma
see	sellest
venitama	venittesin
ise	ennast
ära	ära
ja	ja
üks+kord	üks+kord
tema	ta
kutsuma	`kutsus
Meeri	Meeri
mina	mind
oma	omal
et	et
tulema	tule
mina	muu
korter	`kortteris
vaatama	`vaattam
mina	ma
ütlema	`ütsin
ei	ei
mina	mina
siis	siiss
saama	saan
mina	ma
tulema	tulin
siis	siiss
buss	pus'sigä
jälle	`jälle
Keila	`Keiläst
ära	ära
ja	ja
siis	siiss
tema	ta
tegema	tegi
ju	ju
noh	nohh
suur	suured
tuba	tuad
nemad	nendel
olema	oli
neli	neli
suur	suurt
tuba	tuba
siin	siin
Riideku	Riidekkul
üks	üks
olema	oli
täiesti	täijesti
tema	tema
jaoks	jaoks
tegema	`tehti
aken	`akned
lahti	`lahti
suvi	suvel
aga	aga
aga	äga
talvel	`talve
saama	saand
aken	`akned
ju	ju
ka	ka
lahti	`lahti
ja	ja
et	et
see	see
lõhn	löhn
minema	lähäb
kõik	keik
tuba	tuast
välja	`väl'le
kes	kis
kes	kiss
maha	maha
jääma	jäeb
parem	parem
olema	onn
ikka	`ikka
kui	kui
inimene	inimene
surema	sureb
enne	ennem
ära	ära
kui	kui
sina	sa
jääma	jäed
ja	ja
ja	jaa
ehk	ehk
ära	ära
halvama	alvattäkse
ja	ja
aasta	`aastäde
moodi	`muoodi
pidama	piad
olema	olem
mina	minul
olema	on
ka	kaa
alati	alatti
hirm	irm
mina	mina
ütlema	`ütsin
kes	kiss
mina	mind
aitama	`aittäb
või	vöi
kui	kui
ja	ja
vana	vanad
inimene	inimesed
olema	on
ikka	`ikka
vana	vanad
inimene	inimist
noor	noored
olema	on
noor	noored
ja	ja
teie	teije
ema	ema
surema	suri
mis	miss
haigus	`aigus
teie	teije
ema	emal
olema	oli
ahsoo	ahsoo
ah	ahh
nii	nii
mina	maa
teadma	tian
ju	ju
küll	küll
teie	teije
ema	emad
tema	taa
olema	on
juba	juba
kaua	kauwa
aasta	`aastaid
surema	`surnud
olema	oln
nojah	noojahh
mina	ma
teadma	tian
et	ett
hulk	ulk
aeg	`aega
olema	on
kui	kui
teie	tee
ema	ema
ja	ja
nägema	nää
Körssu	Körssu
Liine	Liine
elama	elab
ikka	`ikka
kui	ku
vana	vana
see	se
Liine	Liine
olema	on
ja	jaa
jah	jahh
tema	taa
olema	on
vana	vana
ja	ja
Kalju	Kal'lu
ja	ja
need	need
laps	lapsed
käima	käivad
seal	sial
alati	alatti
tema	taa
kodu	koda
maja	maea
olema	on
nii	nii
kord	`kordäs
ja	ja
lill	lilled
ja	ja
kõik	keik
eks	eks
nemad	nemad
kõik	keik
tegema	teevad
ega	ega
tema	ta
enam	änam
ise	ise
jõudma	jöuwa
neh	nehh
eks	eks
laps	lapsed
tegema	teevad
nägema	nääd
tema	tal
jalg	jalad
ikka	`ikka
terve	`terved
vata	vatta
jalg	jalg
neh	neh
no	no
noh	nohh
et	et
tema	ta
saama	saab
ikka	`ikka
käima	`käidud
veel	veel
ja	jaa
jah	jahh
noh	nohh
see	see
ligidal	ligidäl
ka	kaa
see	sie
pood	puod
ja	ja
teine	teised
tooma	tuovad
alati	alatti
tema	`talle
kõik	keik
toit	toidud
valmis	`val'mis
eks	eks
laps	lapsed
tooma	toovad
siia	`siija
maa	`maale
olema	on
tooma	tuuwa
olema	old
ja	ja
võima	vöib
olema	`olla
et	ett
et	ett
jääma	jääb
nii	nii
et	ett
linna+inimene	linna+inimised
hakkama	`akkavad
jälle	`jälle
maa	maalt
tahtma	`tahtma
sööma	`süija
kes	kellel
omaksed	umaksed
olema	on
ja	ja
kes	kiss
veel	veel
siga	sigu
pidama	`piaväd
ja	ja
saama	saavad
liha	liha
ja	ja
kes	kiss
teadma	tiab
kui	ku
vilets	viletsäks
see	see
asi	asi
võima	vöib
minema	minn
see	see
alles	alles
nüüd	nüid
esimene	esimene
aasta	`aastä
ega	ega
teadma	tia
kuidas	kudas
see	see
võima	vöib
või	vö
mis	miss
veel	veel
võima	vöivad
inimene	inimesed
kannatama	kannat
nüüd	nüid
ütlema	`ütle
ei	ei
kõlbama	`kölva
see	sie
ei	ei
kõlbama	`kölva
see	sie
tahtma	tahan
see	seda
see	seda
ega	ega
meie	meije
ei	ei
teadma	tia
veel	veel
kuidas	kudas
ees	ies
olema	onn
maa+inimene	maa+inimesel
vanasti	vanaste
enne	ennem
olema	olid
iga+üks	iga+öhöl
koht	kuhad
ja	ja
olema	olid
leib	leivad
ja	ja
vill	villad
ja	ja
andma	`an'tsid
leib	`leibä
ja	ja
kui	kui
sõja+aeg	söea+aead
olema	olid
ega	ega
nüüd	nüit
olema	pöle
nüüd	nüid
olema	on
kõik	köik
kolhoos	kolooside
käes	kääs
ja	ja
kuidas	kudas
see	se
elu	elu
võima	vöib
minema	`minna
mõtlema	`mötle
kui	kui
suur	suured
norm	normid
olema	on
kolhoos	koloosis
kõik	keik
vilja+norm	villa+normid
ja	ja
kõik	keik
piim	piimad
kui	ku
liha	lihad
kui	ku
palju	`pal'lu
viima	viijakse
ja	ja
nägema	nää
inimene	inimestel
enam	änam
miski	midag
võtma	`vötta
ei	ei
olema	ole
nojah	nujahh
ega	ega
siis	siis
keegi	`keegi
müüma	müin
mina	mina
ka	kaa
üks	ühe
siga	sia
kasvatama	kasvattasin
mina	maa
teadma	tian
see	sie
poiss	poiss
mis	miss
traktor	`traktori
all	all
see	se
kõige	keige
vanem	vanem
see	se
olema	oli
Külati	Külatti
Mai	`Maiga
olema	olid
siis	siss
see	sie
aeg	aeg
tuttav	`tuttavad
Mai	Mai
käima	käis
veel	viel
tema	ta
matus	mattusel
mitu	mittu
inimene	inimist
sina	sull
olema	onn
olema	onn
see	se
liha+tükk	liha+dükk
nii	nii
suur	suur
kui	kui
seal	sial
pott	`pot'tis
supp	suppi
sees	sees
olema	onn
lõikama	`leikkad
nemad	nendel
ühe+sugune	öhöd+sugust
tükk	tükkid
iga+üks	iga+öhöl
siis	siis
iga+üks	iga+üks
võtma	`vöttis
oma	oma
tükk	tükki
sööma	söi
ära	ära
noo	noo
et	ett
andma	`an'tsid
iga+üks	iga+öhöl
ega	ega
sina	sa
ise	ise
panema	pand
jätma	`jätsid
taldrik	taldrekku
peal	pial
lõikama	`leikkasid
see	selle
liha	liha
katki	`kat'ki
mitu	mittu
inimene	inimist
sina	sull
olema	onn
siis	siis
iga+üks	iga+üks
võtma	`vöttis
ise	ise
üks	öhö
tükk	`tükki
ega	ega
sina	sa
nemad	nendel
taldrik	taldrekku
peal	pial
ette	`iette
ei	ei
panema	pann
ega	ega
teine	teine
siis	siiss
teine	teise
tükk	`tükki
ei	ei
võtma	vötn
ega	ega
mina	mina
teadma	tia
ka	kaa
kuidas	kudas
keegi	kelegil
olema	oli
see	seda
kraam	`kraami
käsi	kääs
eks	eks
sedasi	sedas
olema	oli
kes	kellel
olema	oli
mitu	mittu
siga	siga
kasvatama	kasvattada
mina	mina
kasvatama	kasvattaasin
üksi+päini	üksi+bäni
ega	ega
mina	minul
ei	ei
olema	old
rohkem	`rohkem
kui	ku
üks	üks
siga	siga
aasta	`aastas
kasvatama	kasvattada
ja	ja
mina	mull
olema	oli
ju	ju
vähe	vähä
liha	liha
kes	kellel
olema	oln
mitu	mittu
siga	siga
eks	eks
nemad	nendel
võima	vöis
olema	old
taldrik	taldrekkud
täis	täis
ja	ja
sööma	söid
nii+palju	nii+`bal'lu
laps	lapsed
kui	kui
saama	said
kes	kellel
olema	oli
palju	`pal'lu
laps	`lapsi
eks	eks
nemad	nendel
olema	oli
raskem	`raskem
noh	nohh
kes	kellel
olema	olid
vanem	vanemadel
rohkem	`rohkem
jõud	`jöudu
ja	ja
suur	suured
koht	kuhad
olema	olid
eks	eks
need	need
tapma	`tapsid
ju	ju
ka	kaa
palju	`pal'lu
loom	`luomi
siis	siss
mina	mina
olema	olen
ju	ju
vilets	viletsä
koht	kuha
peal	pial
kasvatama	kasvattäsin
need	neid
laps	`lapsi
eks	eks
mina	ma
Kase+metsa	Kase+metsal
siis	siis
olema	oli
ka	kaa
kõik	`keikke
asi	as'sa
olema	oli
rohkem	`rohkem
ja	ja
kui	ku
